genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,2.976685988e-05,1.0079955412e-05,1.29448419225e-05,2.20125290625e-06,1.27782463666667e-05,5.91140540166667e-06,2.58864254125e-05,3.80842243066667e-06,1.83258631025e-05,0.000180002119533333,2.80569226e-05,5.40465932475e-05,2.6697358105e-06,4.984865911e-06,2.61733813475e-05,1.37642942925e-06,1.2102373595e-06,3.62153445025e-06,3.817064231e-05,3.38465037466667e-06,2.39217047433333e-06,1.75542723933333e-05,6.434130711e-05,4.22767059275e-06,1.12961699475e-05,4.0536866355e-06,7.04739236525e-06,1.770306834e-05,5.554117774e-06,1.3078534955e-06,2.967071939e-05,1.388642906e-05,0.000112872754025,1.2080492555e-06,6.76723250875e-05,2.91603517375e-06,3.2470505985e-06
Col-0,3,2.638737455e-05,1.043752796e-05,1.3286072665e-05,2.44075891575e-06,1.357903469e-05,6.04315068425e-06,3.5448647735e-05,4.3239986755e-06,2.0026883165e-05,0.00019732642815,3.00129343433333e-05,6.79924960625e-05,2.846496945e-06,4.92432728133333e-06,2.978893275e-05,1.66128848325e-06,1.446824743e-06,3.80518051466667e-06,4.54840840125e-05,4.1552283995e-06,2.482889588e-06,2.12352585125e-05,5.53170694575e-05,4.39985235125e-06,1.158122003e-05,4.36167355e-06,7.24321618075e-06,3.2946078715e-05,5.666784474e-06,1.73599205975e-06,3.76468656475e-05,1.58723461925e-05,0.000119301164975,1.26762848e-06,8.23709989566667e-05,3.04939554475e-06,4.00126015466667e-06
Col-0,27,3.1486693975e-05,9.764627092e-06,1.14021386735e-05,2.200084762e-06,1.1788684749e-05,5.6515168255e-06,2.6587262415e-05,4.17883552225e-06,1.76855826975e-05,0.0001539778348,3.11769165233333e-05,6.1376704075e-05,2.71609541e-06,5.139591357e-06,2.27549178666667e-05,1.42859239925e-06,1.230390188e-06,3.48443383833333e-06,3.51421896375e-05,3.01346977e-06,2.46567774575e-06,1.616951908e-05,4.4287755735e-05,4.08010030425e-06,1.11950090075e-05,3.83657576075e-06,7.03220019925e-06,1.076570681e-05,5.52887391525e-06,1.61399801725e-06,2.979769312e-05,1.4724648325e-05,0.000116074922933333,1.20746353866667e-06,5.55735186925e-05,2.929998802e-06,3.4337370375e-06
Col-0,75,3.714067219e-05,1.0879346465e-05,1.25753038e-05,2.34347987875e-06,1.38645692366667e-05,6.54057808525e-06,3.37777219775e-05,3.79678466833333e-06,1.74666953566667e-05,0.0001676133368,3.24414692775e-05,7.83868393825e-05,2.83151338875e-06,5.604468699e-06,2.780903872e-05,1.44683725633333e-06,1.330929789e-06,3.84854477275e-06,4.65255550575e-05,3.38313475633333e-06,2.49666255675e-06,2.521476506e-05,4.55993930125e-05,4.3730874045e-06,1.1554628225e-05,4.26326631975e-06,7.21813586725e-06,4.10617158425e-05,5.82135564075e-06,1.1856668015e-06,3.866055149e-05,1.59680202733333e-05,0.0001222457944,1.2662893985e-06,7.7931015065e-05,3.119760837e-06,3.966623001e-06
Col-0,123,3.72404191775e-05,1.03865207625e-05,1.1728044535e-05,2.25598148075e-06,1.18168807133333e-05,6.335181118e-06,3.17654801575e-05,4.124979547e-06,2.025861502e-05,0.000141696407066667,3.16192484233333e-05,6.65964945e-05,2.8184803795e-06,5.22656430925e-06,2.75893176025e-05,1.48447956175e-06,1.28310384766667e-06,3.71757166e-06,4.3434062325e-05,3.197505617e-06,2.441238744e-06,2.07037215825e-05,3.40496696366667e-05,4.3190957985e-06,1.16389354175e-05,3.98013916066667e-06,7.27560658725e-06,3.70439263275e-05,6.150839679e-06,1.39966971625e-06,3.667053681e-05,1.5352660585e-05,0.00011406393605,1.25061127e-06,6.67660659525e-05,3.2260861425e-06,3.586526631e-06
ggt1-1,-21,4.72079746825e-05,9.176588822e-06,1.5756263465e-05,2.42586202175e-06,1.98409396766667e-05,4.82435551025e-06,1.454086271e-05,3.980115896e-06,1.335696735e-05,0.000190311859175,2.263404911e-05,8.15406175025e-05,3.2158120325e-06,4.96783224366667e-06,2.741908351e-05,1.60992738975e-06,1.39902771725e-06,3.94117782175e-06,3.12806667575e-05,4.63569668975e-06,2.3958085065e-06,8.527969153e-06,3.99768569766667e-05,4.44694680175e-06,1.188845863e-05,4.289835768e-06,7.54039487825e-06,1.6937053535e-05,5.5534685435e-06,1.5952182325e-06,1.133035462e-05,1.0553725995e-05,0.000112729736675,1.18263944366667e-06,6.922916341e-05,3.08995013375e-06,3.98653897425e-06
ggt1-1,3,4.43420691575e-05,9.7079993685e-06,1.5387197765e-05,2.53499013525e-06,1.98320691175e-05,4.52893549166667e-06,1.945908088e-05,3.736717651e-06,1.1282362407e-05,0.0001862415222,3.143939428e-05,9.24150664475e-05,3.51923675275e-06,4.99212004533333e-06,3.10982245275e-05,1.842993797e-06,1.6219729595e-06,4.1257787265e-06,3.684887963e-05,4.166579584e-06,2.59610283233333e-06,1.0269175619e-05,5.90370620125e-05,4.41664153575e-06,1.21640211925e-05,4.28942602975e-06,7.617802391e-06,2.911093878e-05,5.59137303066667e-06,1.7632919935e-06,1.2216453015e-05,1.15192457033333e-05,0.00011720930725,1.22616992625e-06,7.1964342115e-05,3.18101791625e-06,5.47791396766667e-06
ggt1-1,27,2.18368922233333e-05,9.421577675e-06,1.349441509e-05,2.31674212725e-06,1.59166683466667e-05,4.4869406815e-06,1.64537399775e-05,3.68122226166667e-06,1.159276160975e-05,0.00018798453005,3.1499372e-05,7.26926228375e-05,2.90816215275e-06,4.7757595065e-06,2.38574103066667e-05,1.575303088e-06,1.42786319725e-06,3.7798179265e-06,3.17628583575e-05,3.90299714175e-06,2.33285698625e-06,6.29840517433333e-06,8.39132052225e-05,4.32681776875e-06,1.193327422e-05,4.1270753895e-06,7.27786413175e-06,1.13392708233333e-05,5.38427928466667e-06,1.14682415433333e-06,9.50812811725e-06,1.166435028e-05,0.0001049185251425,1.18114455e-06,6.589551506e-05,3.007759868e-06,3.616118378e-06
ggt1-1,75,3.35085396075e-05,8.92768590666667e-06,1.24649404e-05,2.404078749e-06,1.50438837125e-05,5.0101008765e-06,1.550763805e-05,3.86027475875e-06,1.287444983125e-05,0.000160861327266667,2.8688671715e-05,8.60648344725e-05,2.95878303533333e-06,5.01305620125e-06,3.05793886e-05,1.54877128933333e-06,1.37154125475e-06,3.962380548e-06,3.39845090233333e-05,4.209799991e-06,2.49751147333333e-06,8.37488464525e-06,6.35606097225e-05,4.207087418e-06,1.15458382e-05,3.64639063833333e-06,7.27388621875e-06,1.92718316225e-05,5.75789849975e-06,1.77069705325e-06,1.052336099575e-05,1.087631498975e-05,0.0001075667948,1.161773825e-06,5.48029369425e-05,2.98777604375e-06,4.2250294055e-06
ggt1-1,123,2.8732001e-05,9.42751674725e-06,1.25685977075e-05,2.37480545566667e-06,1.560624457e-05,4.5805491105e-06,1.439844253e-05,3.46834711366667e-06,1.104281648875e-05,0.000178581021525,2.721262202e-05,7.08782073533333e-05,2.77993956925e-06,4.90288234725e-06,2.61604574925e-05,1.44223439925e-06,1.28514755675e-06,3.73049871225e-06,2.93300716875e-05,3.286711821e-06,2.35549922125e-06,7.838708474e-06,4.67185419825e-05,4.26477829525e-06,1.16281880275e-05,3.647128375e-06,7.193861855e-06,2.0466990055e-05,5.4154706625e-06,1.390064165e-06,1.077851874175e-05,1.0152622989e-05,0.0001065649686175,1.15504219025e-06,5.6133975715e-05,3.03719107525e-06,3.58861092e-06
