genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,0.034226768675,0.010696861109,0.0136842494125,0.00230123230775,0.013152863415,0.0060105269195,0.031628375525,0.00369803679233333,0.0141875345166667,0.193858660375,0.02867719781,0.0657030055475,0.00276177736075,0.00549379319825,0.0258630993975,0.00154461835825,0.00131680045725,0.003835937293,0.04335875483,0.00319462101775,0.00260959503825,0.02253615639,0.0427428393475,0.00427446057525,0.01152138671,0.00435146345825,0.0072466458175,0.0300166550566667,0.00534222400966667,0.00156481338375,0.03891609348,0.0162273392825,0.1224655195,0.00125766579975,0.0718625968175,0.00307166795066667,0.00396647979125
Col-0,3,0.0270989320866667,0.0103974933153333,0.015267722195,0.0022915731715,0.01234472324,0.0300430804125,0.0471224897075,0.00351591863033333,0.084248616435,0.128492215925,0.0443239259775,0.0541554659075,0.0028023621495,0.0165706071325,0.0340144030166667,0.0015398085095,0.00135438326275,0.00376737779725,0.058643497745,0.00365979152166667,0.002758747264,0.0204333464725,0.0388786819733333,0.00438103497525,0.0116109633025,0.006396670826,0.00736091187275,0.0359936412775,0.005949012692,0.00146207367075,0.033742924535,0.01274350525,0.14619515695,0.00123913911833333,0.0712695029975,0.003299611145,0.00455247232225
Col-0,27,0.022830671265,0.0141803663425,0.01342015806,0.00283735965625,0.01195405559,0.028403216475,0.0546772978375,0.0038381765295,0.09643756428,0.1621380603,0.0815175759325,0.04541908681,0.00281058166025,0.033325539325,0.03061905605,0.001803930495,0.0015639823235,0.00386969347875,0.0552548654966667,0.00385674113975,0.00322214160733333,0.01874883573,0.0360891812466667,0.004579401186,0.0115358739466667,0.008449896204,0.0073173324925,0.0374881992533333,0.00764525550725,0.0014948080525,0.047912885565,0.0132944406375,0.15058170645,0.0012869485105,0.07692484338,0.003399472514,0.0060537211555
Col-0,75,0.0399792289275,0.01085737749,0.012818819695,0.0029821034575,0.011008279139,0.0243665287866667,0.0634548026375,0.00381193821466667,0.087345527385,0.13327459405,0.05438945151,0.0542227656533333,0.002874258124,0.025445131145,0.0377728548466667,0.00187991710475,0.00167964722133333,0.0039503809255,0.0591190226633333,0.00792594946775,0.003040887493,0.0236120013025,0.05182244663,0.00466691887566667,0.01193035557,0.00655241893975,0.0074723513625,0.0368478033725,0.00707516998433333,0.0019554382885,0.04991427026,0.0139575754533333,0.157828162025,0.00130027542075,0.0820390158475,0.00322460452325,0.006528977467
Col-0,123,0.02484557474,0.0137588240325,0.013560584355,0.003035991392,0.0117926523825,0.02459189497,0.0663482815375,0.003818755979,0.0794978809025,0.1419458807,0.0646940462025,0.0597256596225,0.00298575287766667,0.0182376121033333,0.0360836065875,0.0018192674405,0.00172432599325,0.004089810363,0.074553267725,0.004898853484,0.002598204511,0.023618574965,0.0440705631475,0.0044875669805,0.0116241436425,0.00609642653775,0.00733474351625,0.0481137901933333,0.00692270373166667,0.001620278111,0.0561472214,0.0128150464075,0.156269019,0.0013065692745,0.0740543120575,0.003338448141,0.00625778750575
ggt1-1,-21,0.0498049183075,0.0093435360865,0.0163105598325,0.00239572122875,0.0195324910875,0.0045374608615,0.01543462386,0.003667912048,0.01105626445025,0.19129846645,0.0268469510625,0.07238478629,0.00284545078333333,0.00504873363425,0.0280155593675,0.00158375566933333,0.00133043964425,0.00387071548975,0.0315769952425,0.00369696455475,0.00244306192625,0.00889412607966667,0.0489654731725,0.004491604064,0.011868487815,0.00397397728975,0.00739290418133333,0.0213785548125,0.00542163118875,0.001514176544,0.01024165303975,0.0108722850175,0.109595621895,0.00118273988075,0.06382464938,0.00312004879625,0.004013642686
ggt1-1,3,0.02514284714,0.00954511893,0.0188220956975,0.00235154832675,0.0196373579,0.012921818275,0.033068824405,0.00348637602666667,0.034229307015,0.129830181325,0.08308433055,0.05188841405,0.00291209825233333,0.013135440255,0.04140062023,0.001897730689,0.00191597658075,0.00400824141875,0.06160984657,0.00382993313975,0.00270752841666667,0.00949906045425,0.05470878817,0.004250835532,0.011788421445,0.0071994120405,0.0075177969495,0.0367791987525,0.005666793224,0.00137099382866667,0.0091175161535,0.0098071562305,0.145903480425,0.00118168031225,0.0651935277625,0.003243564437,0.00601851091775
ggt1-1,27,0.0444681165125,0.01366509354,0.0151701245333333,0.00381124810066667,0.0227680155625,0.01439857406,0.0396774691925,0.00536682835075,0.0510005221133333,0.173201481325,0.0837144238425,0.0383678657125,0.0029395803725,0.0215899689475,0.0344545739075,0.0021120874195,0.002466033719,0.004051664287,0.072787514,0.003516364352,0.002764148964,0.00951936106075,0.0420777208925,0.00465729512525,0.011789731995,0.009515065428,0.00775261734975,0.0248647868533333,0.007217246525,0.00200895605325,0.01306298866,0.0109364848625,0.169005543733333,0.00120682284933333,0.0641911903733333,0.003921023662,0.00990150148225
ggt1-1,75,0.04483097506,0.01363295607,0.0170523690733333,0.00476046135566667,0.019329504815,0.011391585269,0.03210945372,0.00414005177725,0.0362369064575,0.204534041366667,0.11843749825,0.057298210175,0.003126380704,0.01101362018,0.0434239443266667,0.00196412032166667,0.00212453496233333,0.004344021434,0.0694921256475,0.005995580996,0.0028516419645,0.0114182325965,0.0460976033666667,0.00446603604575,0.0117894485666667,0.006812959475,0.00758252041125,0.04672433906,0.00683298205166667,0.00235014316,0.0149655155066667,0.01028145880025,0.162654308333333,0.001194879304,0.061697182525,0.003458055489,0.00862277960925
ggt1-1,123,0.025982187475,0.01413289914,0.018267201315,0.0044019002785,0.020673719285,0.00851420589525,0.04078899346,0.003755390961,0.0328044539775,0.213411271875,0.08974273597,0.064779657365,0.0030979724285,0.00913245287025,0.03855881625,0.0020823727425,0.00221046023166667,0.0044859863455,0.077933627695,0.0045456989745,0.00283955423666667,0.0177072930275,0.0687870086075,0.0043270716615,0.0118197869925,0.00644297418225,0.0076756544715,0.06713710834,0.00706043497033333,0.00202017804275,0.0156794774925,0.0104478607005,0.166944429075,0.001183773315,0.0754516178125,0.00369404589875,0.0090381632345
