genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,0.0122605003496114,0.00122746365373651,0.000653533464708577,0.000161538014847909,0.000741107249689683,0.000205719334687995,0.00159951521870171,0.00015805584686134,0.000372042548370623,0.0193583447726924,0.00618991897216088,0.00318390420378381,7.32871201040379e-05,0.000140042389732894,0.00247751188659265,0.00010668795925738,8.15139645715169e-05,0.000136195150740567,0.00360158807877213,4.04133720834501e-05,0.000113056166512413,0.00200336179658612,0.00599180930542777,0.000105391068210678,0.000240364191808153,0.000378398337329978,0.000123426284438462,0.0017251558058989,0.00013536682842778,0.00019657136488982,0.00274405933862425,0.000795159168094647,0.00646199000031663,3.59522157574268e-05,0.0091179009894441,6.02975483434027e-05,0.000527559627019746
Col-0,3,0.00108664941376266,0.000517431886327707,0.000733439446273354,5.47086188616745e-05,0.000421388771359388,0.00453674340444739,0.00330005125067601,0.000104789309912477,0.0109493291608573,0.00859929849538091,0.00610577608218724,0.00325456461221727,0.000152397487525948,0.00233111368010806,0.000861726870275793,4.49354609896524e-05,3.02588712982159e-05,0.000121248499658022,0.0062927181357919,0.000127976522033363,0.000124191944118705,0.00181992347778047,0.00204639354733573,0.000279121564628581,0.000546653294683874,0.000430049746835031,0.000382063535314484,0.00741999837190816,0.000159368506192015,0.000103034440161458,0.00197845264338325,0.000820792602663971,0.00252798020859807,5.31507492890341e-05,0.00622568222239133,8.59237726119035e-05,0.000125703209898414
Col-0,27,0.006060991158803,0.00214819511133064,0.000523430551559671,9.37832767591118e-05,0.000522649182993733,0.00510218331485266,0.0036594261521804,0.000258358427205049,0.0127788946404463,0.00934033920674711,0.0156463932633692,0.00339564430652871,0.000161890453214171,0.00354539330507217,0.00123011598843137,3.87707979713984e-05,4.67461933308681e-05,0.000153627611282098,0.00287274595813071,0.000310051168379876,5.7513551322865e-06,0.000443465969899528,0.00348945947023396,0.000238307280552633,0.000231975534303877,0.000288723770926363,0.000154448233216918,0.000858854932881533,0.000508294206214436,5.30282054314657e-05,0.00232129669591009,0.000537606053540048,0.00581051495522333,4.57004991227127e-05,0.00563632880197004,8.37171962212783e-05,0.000272044479599321
Col-0,75,0.0201824370378583,0.00075150552689627,0.000775544402902624,0.000117465760525834,0.000746537041081541,0.000547609927498577,0.00196591024405805,0.000195466436878076,0.0129260529145968,0.0167906644971512,0.00993507406114611,0.00543421201161883,0.000237839762857564,0.0037622214256309,0.00376703743397387,7.74135820120869e-05,7.10479971669019e-05,0.000160809985022677,0.00335847579098029,0.000861883807941141,0.000131110128623423,0.00244633091460025,0.00759367802189031,0.000243907570996204,0.000834972869386096,0.0005797130872549,0.000412780532298681,0.0075205930010432,0.00048222710446878,0.000269607418159927,0.00116201148414237,0.000420386722471343,0.00460854926925798,6.03389515125375e-05,0.00526549422605909,0.000237189567892683,0.000234983477178694
Col-0,123,0.00877329191312843,0.00179160356922679,0.000612076479511915,0.00013783839207518,0.0016000591249525,0.00961459747309797,0.00952383423296105,0.000181608569595135,0.0217575731334065,0.0155616993343111,0.0111470581454264,0.00621543503731554,0.000176492910238152,0.000862176898277761,0.00177876806895344,0.000113939502829633,0.000148886937054296,0.000227790698341763,0.00618318789168556,0.000374164917001257,7.76611035638322e-05,0.00265835124056505,0.0148332830952492,0.000183276222750084,0.000679323593546646,0.000356852611891416,0.000242801994158648,0.00313333415164057,0.00026197737641395,4.54874508269353e-05,0.00487710136321105,0.000892244032420083,0.00429384362460334,5.32685263001898e-05,0.00591233156167835,0.000203298588944657,0.000370397687537305
ggt1-1,-21,0.0229383147233628,0.000618488612274811,0.00133310151872896,8.61567751425137e-05,0.0023405725502981,0.000250798066569436,0.00269452919109501,0.000106299403849155,0.000682922347087657,0.0169380104484301,0.00379862132805247,0.00798455827512856,0.000125556510415472,0.000129453976981088,0.00176639051116994,6.57183805251435e-05,8.47277824103103e-05,7.29117162697999e-05,0.00578127851641495,0.000524152464766374,7.13398416105053e-05,0.000430596942136692,0.0148952550724195,0.000267191436938955,0.000537749048529189,0.000239729799034387,0.000148703823456713,0.00425630187247923,0.000128139443526554,3.84149127202724e-05,0.000729735579839861,0.00106486612920221,0.00696835518206677,3.58934710332202e-05,0.0063843074247048,6.45210899363047e-05,0.000386499662275335
ggt1-1,3,0.00249754119331847,0.000367901134742133,0.0013086449731882,5.01005064873184e-05,0.000229587295440789,0.00254183681777278,0.00106096225153037,0.00014405338293032,0.00599433711346567,0.0246972026995641,0.00812069191981311,0.000807231161049071,4.17104551996193e-05,0.000560729409249724,0.00175740936378117,0.000125402343193758,0.000192391096422452,0.000136551241688153,0.00181761118746205,0.000207006891439806,7.10676927521415e-05,0.00114502226447006,0.00159532193759477,0.000117190405002038,0.000297985862846363,0.000401519407033675,0.000144700671233572,0.00845558658062858,0.000169899874924161,3.47066687320766e-05,0.000693703139291603,0.000236657498975382,0.00315826384787853,2.57542761730471e-05,0.00703329393750624,1.72106882284159e-05,0.000488109970762978
ggt1-1,27,0.0204910502062545,0.000299750602758089,0.000935263945728315,7.01253351115912e-05,0.0036660774302939,0.00216328021684832,0.00523563961259546,0.000614586422851728,0.00422139462241846,0.0234658000699471,0.0063364092111097,0.00421936664885917,0.000181933947169651,0.00146210341492794,0.00469445424916621,0.000366041344878713,0.000260617522184061,3.8139818027155e-05,0.0119628209616585,0.000350454038413863,8.58175725085468e-05,0.000426868847058331,0.00506524160085152,0.000266892273124257,0.000403794939458833,0.000727550379598953,0.000609882098454131,0.00164984860626908,0.000375772012762286,0.000415926821831115,0.00104895275646849,0.000783082002510839,0.00615692601279834,5.66278713850201e-05,0.000826401997268667,0.000192605133165286,0.0017528567194607
ggt1-1,75,0.00645661937672323,0.000808075993650257,0.00102512599422012,0.000218471070105011,0.00143131635065207,0.00196520452810514,0.00144365753581016,0.000270363594757354,0.00819744366594209,0.0107032067361783,0.00792268997753917,0.00560249118108157,0.00036078226139494,0.000270295646806053,0.00252625515016861,9.37775063470159e-05,0.000105932889483071,0.000164077157812003,0.00492951018492788,0.0015595215620441,0.000144844414592059,0.000981805706497436,0.00236557482023958,0.000317714761538803,0.000489863905799298,0.000486565979203763,0.000389576471842461,0.0073016188554226,0.00068694833685548,0.00017742453964345,0.000868913326200165,0.000449659917448951,0.00474262538107135,6.45025759954299e-05,0.00826468008276621,0.000225278245768337,0.000763445088099604
ggt1-1,123,0.00415861979418104,0.00163822983849775,0.00306625039436569,0.000322601907258247,0.00526969932810416,0.000631872736686315,0.00575822092664169,2.00700572848942e-05,0.00818361930171124,0.0370289708349161,0.0018595506010106,0.00219955970918713,0.000134625328620005,0.000835271957373909,0.000634756788827924,1.11032082239111e-05,8.69578637989124e-05,0.000249163034894611,0.0160195725828346,0.0010997876578559,9.56340709063497e-05,0.00318430282526356,0.0164022746872522,9.70844008523175e-05,0.000248234772326152,0.000341831698513338,0.0003492146668011,0.0105753123336235,0.000306996118224882,0.000249284664010716,0.00149762574654751,0.00098234991179992,0.0117645127771594,3.52361571590641e-05,0.0079967387687546,0.000319065001563549,0.000441343779403721
