genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,0.0101805742363538,0.000684257858604872,0.0007382603141736,7.25867295102226e-05,8.39470001150965e-05,0.000143858641438839,0.00242349933897375,0.000275227238777889,0.00138996137824458,0.0108968209080522,0.00392545329632472,0.0102768028299147,0.000115293311561532,0.000172370110191469,0.00171434430853621,4.17138560258238e-05,1.70273661872448e-05,0.000119796249121358,0.00456201599519645,0.000147469204689977,0.000142623850427011,0.0011331019340345,0.0167953544692689,0.000175278938969197,0.000416896415851495,5.63591785088574e-05,0.000323223016558772,0.00221004548890322,0.000171612245337625,0.000322979148514097,0.00159692484647759,0.00135571641951645,0.000639377115620777,4.75907956185356e-05,0.00667274216287328,0.000133615211130524,0.000251022323007663
Col-0,3,0.00592462821853198,6.20498381520486e-05,0.00134083029370476,0.000143750667221213,0.000733979873641838,0.00100558770676369,0.00220118198305978,0.000647529509077621,0.00461670578280023,0.0237087023644346,0.000819752329263115,0.00878400431500263,7.32278466123403e-05,0.000139407511631734,0.00231905554626492,0.000167697698647181,0.000187483772494162,8.22912814484286e-05,0.00761653296035756,0.000328638565662173,4.47203483378177e-05,0.00292058017344919,0.0127573140178718,0.000120166036092867,0.000355651387704767,0.00037141426660201,0.00022343861517144,0.00919572583018919,0.000214164772032186,0.000296552658951001,0.00440578268222479,0.000763917779485978,0.00908865899273636,2.10102877529642e-05,0.00217510286321331,0.000136946402399261,8.29035656230871e-05
Col-0,27,0.0113645899595358,0.000388647469308991,0.000894564923675132,0.000181311402848586,0.00117252835582887,0.000451931301241203,0.00343810578229409,0.000617949120720157,0.000244635372646345,0.0184749151006822,0.000555618096640385,0.00953895715512174,0.000145097978019194,0.000187248684876915,0.00134355725713691,0.000156699049444303,0.00019571684299883,0.000258921270357161,0.00358760324519597,0.000295391009042962,0.000178418195853646,0.00302408549273983,0.0103344402965359,0.00023201102068283,0.000611834652895079,0.000281107789750576,0.000283300249589688,0.000895583709813545,0.000342894219989261,0.000333719331137991,0.00355924367202419,0.00170896781632612,0.00148811068791342,7.0820004163892e-05,0.00565360402794042,0.000156461885762227,0.000504789893292445
Col-0,75,0.0106130327412593,0.000962866997672912,0.00156195422952664,0.000174620705690023,0.00032631040457311,0.00112764620105382,0.00339545493817709,0.000136233038123995,0.00183123714954513,0.00936474800962754,0.00394801534783366,0.0047708822459987,0.000109372557021547,0.000233207247144073,0.00344370062929771,3.20003780552062e-05,0.000150238233061356,0.000143629055959335,0.00989708329102373,0.000268901855877963,7.1513697227072e-05,0.00142364342642133,0.00817808680548881,7.60069856702908e-05,0.000287264645738419,0.000307122037839256,0.000175815740869486,0.0141103931317629,0.000264483346722741,8.35628292238411e-05,0.000763360100815153,0.000224051761496457,0.00496183883529421,4.299550134503e-05,0.00451187843264474,5.08145562806017e-05,0.00050166675579192
Col-0,123,0.0120867372868597,0.000717479942891174,0.000989569649992776,5.71473666712686e-05,0.000433654098549921,0.000779039039744295,0.00429186074895471,0.000136742346848956,0.00444048785490978,0.0104210868684443,0.000763565310638239,0.00619838566879018,0.000112100459790809,0.000429101990183753,0.00250003399499144,0.000127215993058787,6.52504177229903e-05,7.97184353422789e-05,0.00628245084161306,0.000362488104120164,5.17967987176767e-05,0.00175271100744619,0.00429215981767262,0.000174199796462247,0.000207273961399275,4.84709482456904e-05,0.000107927803633053,0.00871483620146071,0.000187877783631134,8.3810565021925e-05,0.00335850666013852,0.0011250734289869,0.0066245265872371,2.4272994433404e-05,0.00831028702902771,0.000129854344751286,0.000208326655357288
ggt1-1,-21,0.0186320063318536,0.000111618069606167,0.0010530245529884,4.05842941247378e-05,0.000632373270536309,0.000286853283536876,0.00118848437219442,9.41843725786273e-05,0.000146807648546369,0.0480914304700954,0.000636809170062889,0.00586100827164295,0.000355356118140648,9.94684719861912e-05,0.00261954882689716,5.69933227913968e-05,5.58589365195136e-05,6.17505430835345e-05,0.0048799343587294,0.000906674897857152,8.03321732416938e-05,0.0011123519131901,0.00381708748352256,9.27316750322814e-05,0.000351916168884937,0.000383684871117526,0.000258073818482356,0.00465212006054661,0.00011098331278399,0.000341731490728006,0.000844767365879999,0.00060395078785272,0.00477373026530994,4.37092494151574e-05,0.0039529439802677,0.000107335368506543,0.000365776606608346
ggt1-1,3,0.0114351804725037,0.00033252625985081,0.00102529325680043,0.000171385733690631,0.00144464401913295,0.000166921092699906,0.00204896043948848,6.39807460829373e-05,0.00133752372195673,0.0179052047092969,0.00101042387192245,0.00361854886511564,0.000338284461149159,0.000217640190826682,0.00116096785791384,0.000182045716844211,0.000189457578736233,0.000231716617390266,0.00809494499312081,0.000331282817662866,0.000113047884849854,0.000851465105324607,0.0125665258245044,0.000182762138425539,0.000551465401568613,0.000311872366697029,0.000358092098442497,0.00828417701330438,0.000114211374852232,0.000276587435437541,0.00155551983934101,0.00038037971176194,0.00396341952032017,3.85497728706949e-05,0.00413046449088442,0.000170924069076393,0.000140450704151493
ggt1-1,27,0.0022349399044891,0.000531842962185029,0.000291018145680473,0.000138463590539846,0.00100723776106861,0.000362995022108021,0.0022546997180512,0.00028113673167052,0.00193658505984547,0.0334051526128277,0.00984323112212953,0.0148376774299973,0.000144422813433524,0.000239357277740103,0.00215024118613606,0.000339411780058904,0.000373609606673227,0.000249012951976013,0.00265353085075108,0.00134831591328937,0.000150343951537047,0.000710193230535316,0.0408909828807411,0.000186410467639944,0.000685136013190287,0.000735311430687161,0.000510117688368333,0.000932117557773832,0.000426734512665768,0.000302057220804589,0.000970173510611544,0.000838892065334462,0.0143933957947873,8.70528244746747e-05,0.00830715933312551,0.000203575126327697,0.000880241224855506
ggt1-1,75,0.0075666822082867,0.000503678492753361,0.000511602649635158,0.000146204872864948,0.00199222632085835,0.000521055507928939,0.00123078573840136,0.000440049615952456,0.00249979776982179,0.00987774776896115,0.00544938199021339,0.00877968877860303,0.000105831758928873,0.000195457867792243,0.00324637498965418,8.2827664190184e-05,8.85702425702185e-05,0.000104472797678557,0.00295615885836605,0.000658605680196607,6.89748830975474e-05,0.00111858685085555,0.015971167514032,0.000235836960438895,0.000618529360374073,8.49632846793349e-05,0.000412195838439405,0.00282545309924493,0.000279468193777038,9.73345790613504e-05,0.000873585683118248,0.000805543277130323,0.00602147164319986,5.84790279242741e-05,0.0109995549381373,0.000148837038702362,0.00033259278547452
ggt1-1,123,0.00623663627603939,0.000506326990330084,0.001069651904384,9.19179293529017e-05,0.00159934996754368,0.000421160506812877,0.000654627752527482,0.00011702578140766,0.00199457723610127,0.0290343499846612,0.00364995016760504,0.0077311465092508,5.56837110662768e-05,0.000351083572225325,0.00247551624693181,7.44632790668575e-05,8.49453491022613e-05,0.000185131919965514,0.00764089169795287,0.000143265000578342,9.09121410461526e-05,0.000289905574888701,0.0106913132897621,9.6984034236413e-05,0.00036869517840271,8.99411313008593e-05,0.000227964560039607,0.00547456965881757,0.000335785214324393,4.73914755830848e-05,0.00146492237264702,0.000336703536794474,0.00749048554748193,3.33210688711587e-05,0.00334371252046572,8.18575059857668e-05,0.000406032457190212
