genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,2.89230699175e-05,2.17366759866667e-05,1.48091862225e-05,2.4321202635e-06,8.0340169205e-06,2.31911838625e-05,2.269726516e-05,3.88717011433333e-06,6.0924085835e-05,0.000172792250933333,6.1999398035e-05,4.6358275345e-05,2.6105245585e-06,2.282776566e-05,2.612243731e-05,1.75349842375e-06,1.495418205e-06,4.2185691035e-06,3.3227293015e-05,3.73925426775e-06,2.894787849e-06,1.38112205525e-05,4.0857187265e-05,4.336926812e-06,1.16153249725e-05,6.48419413425e-06,8.06877629625e-06,1.57201823065e-05,6.631919071e-06,9.0469540625e-07,3.97113462025e-05,1.053836299675e-05,0.000132090741125,1.2348869435e-06,6.036505701e-05,3.25170304075e-06,4.5339988535e-06
Col-0,3,2.434012527e-05,2.1550127995e-05,1.59642462325e-05,2.56766519e-06,8.60763468233333e-06,3.817312887e-05,4.04080997125e-05,4.0333357675e-06,9.230076183e-05,0.0001790752642,7.109692552e-05,6.59563215975e-05,2.69821547525e-06,2.61606809825e-05,2.74004362566667e-05,1.724470778e-06,1.43653515425e-06,4.13549710825e-06,4.1964109295e-05,3.93347794875e-06,2.793018447e-06,1.76297023725e-05,4.70827715875e-05,4.68854026575e-06,1.15356884833333e-05,7.19425418525e-06,7.734306334e-06,2.5524262075e-05,6.55539612566667e-06,1.3181491825e-06,4.576324027e-05,1.2766170275e-05,0.000144337547325,1.270168084e-06,6.30884500575e-05,3.28652692666667e-06,4.96827089975e-06
Col-0,27,2.457455789e-05,1.51164657966667e-05,1.5311583275e-05,2.53565853325e-06,7.64347100533333e-06,2.72668937275e-05,3.93270726875e-05,3.849745529e-06,7.473270813e-05,0.000172094652,5.53435739525e-05,5.62987274433333e-05,2.60345423825e-06,1.98572316825e-05,3.07975103225e-05,1.7479496325e-06,1.5007682865e-06,4.12203468325e-06,4.110873557e-05,4.92191838266667e-06,2.85773800325e-06,1.6092941595e-05,3.88156519e-05,4.6522199465e-06,1.14128679625e-05,6.4467013905e-06,7.62513378575e-06,2.62208455566667e-05,6.3501716645e-06,1.0643802725e-06,4.15022320375e-05,1.32692959265e-05,0.000133458144066667,1.24513980666667e-06,5.673275403e-05,3.30263787166667e-06,5.004384255e-06
Col-0,75,2.800446633e-05,1.102537400025e-05,1.19350219175e-05,2.32578455375e-06,8.27504363775e-06,4.5597395405e-05,5.456289448e-05,3.814323338e-06,0.0001025781749475,0.000133551212275,2.974497091e-05,4.80115094475e-05,2.60929191025e-06,1.216353729225e-05,2.9262854585e-05,1.79923335975e-06,1.593642909e-06,3.914184854e-06,4.28253574575e-05,4.307512066e-06,2.68080798925e-06,1.811870407e-05,3.58845227e-05,4.32758971625e-06,1.127134865e-05,4.89436340875e-06,6.80782304175e-06,3.90852264875e-05,5.79009842175e-06,1.28283141775e-06,3.40125408925e-05,1.3949064505e-05,0.00013647224845,1.23494458675e-06,6.47475313475e-05,3.133065474e-06,4.2856813985e-06
Col-0,123,3.1914234235e-05,1.08208158175e-05,1.24571859e-05,2.51003577975e-06,9.29808853175e-06,5.33394170425e-05,6.607107438e-05,4.23389974175e-06,0.0001280999755,0.000124717126575,3.35789500075e-05,5.99644936325e-05,2.67646975025e-06,1.21243954325e-05,3.02357966575e-05,2.332649751e-06,1.9219205365e-06,4.28190053233333e-06,6.03170690125e-05,4.003033344e-06,2.562138478e-06,1.90157123225e-05,4.626973229e-05,4.3110205315e-06,1.14371648775e-05,5.85383969075e-06,6.93240415925e-06,4.577375985e-05,5.85448912625e-06,1.39397090575e-06,3.83019505275e-05,1.53375939775e-05,0.0001515957903,1.27355146575e-06,6.36908859425e-05,3.50264039475e-06,6.1815556225e-06
ggt1-1,-21,2.30111870825e-05,1.22522201766667e-05,1.8917853595e-05,2.7679302745e-06,1.69548486675e-05,6.05817066625e-06,2.19649110825e-05,4.16270746433333e-06,1.96490392675e-05,0.00022515000525,4.68515622175e-05,4.964290615e-05,2.95268349275e-06,7.5975000375e-06,3.05433405925e-05,1.8298183105e-06,1.77304379366667e-06,4.307418245e-06,5.866831694e-05,3.2106700675e-06,2.53470416975e-06,1.1727161575e-05,5.699869708e-05,4.4079876075e-06,1.17746854966667e-05,5.48615701675e-06,8.449582916e-06,2.23169005525e-05,6.44177036233333e-06,1.94772190575e-06,9.76255455575e-06,1.096718748225e-05,0.00014323239725,1.172842593e-06,9.162721837e-05,3.51597391475e-06,6.19491245766667e-06
ggt1-1,3,3.1701504765e-05,1.09584646233333e-05,1.739308772e-05,2.6825782885e-06,2.2385074815e-05,5.396189523e-06,2.97951740425e-05,3.86713532933333e-06,1.587304557e-05,0.00020411549925,4.4946622855e-05,6.75819303825e-05,2.8663558905e-06,9.83032750133333e-06,3.78063747975e-05,1.77326433975e-06,1.67315321975e-06,3.98383138533333e-06,7.79020519775e-05,3.329998673e-06,2.59244612833333e-06,1.16373263533333e-05,5.4156095905e-05,4.47412188275e-06,1.16459697766667e-05,5.377608589e-06,7.91081411425e-06,2.6371229845e-05,5.97014975325e-06,2.02642599033333e-06,9.40321206275e-06,1.26128820166667e-05,0.00014105332945,1.17073718766667e-06,8.96668612775e-05,3.3691838315e-06,6.4366114225e-06
ggt1-1,27,2.67644860575e-05,1.1274934997e-05,1.9492958575e-05,2.63236692e-06,1.954482139e-05,5.10198690925e-06,2.68731368875e-05,3.63423478175e-06,1.835633398e-05,0.00021482799155,4.53099759925e-05,7.37411265933333e-05,2.873235225e-06,9.61454834466667e-06,3.90382213866667e-05,1.676117511e-06,1.53005230875e-06,4.012509189e-06,8.0359823325e-05,4.9969802345e-06,2.540657293e-06,1.01381822566667e-05,4.9905662225e-05,4.502080109e-06,1.1617472535e-05,5.63899448166667e-06,7.93442211325e-06,2.70461179675e-05,6.25064720275e-06,2.3459164675e-06,9.67287705033333e-06,1.275700164e-05,0.0001386459067,1.155497263e-06,8.81593572433333e-05,3.444963992e-06,5.903804992e-06
ggt1-1,75,2.58011680975e-05,9.99836762125e-06,1.4500697205e-05,2.6052738895e-06,1.6702685755e-05,5.10456919833333e-06,2.195756657e-05,3.61386050675e-06,1.37370543233333e-05,0.000194824070975,3.16938604975e-05,6.0543616805e-05,2.95339490475e-06,6.41721568125e-06,3.21159287e-05,1.46514362325e-06,1.31860010925e-06,3.79686688e-06,5.35445850533333e-05,4.21575279825e-06,2.367549027e-06,9.00700079825e-06,4.94344604875e-05,4.33367647725e-06,1.14433034766667e-05,4.0478795155e-06,7.0588015675e-06,2.5905216975e-05,5.79536207166667e-06,1.78131723925e-06,8.36585707675e-06,1.16105391025e-05,0.00013206519065,1.15281709475e-06,7.309605763e-05,3.1692774575e-06,4.61576216375e-06
ggt1-1,123,3.57288219925e-05,9.4337854405e-06,1.4231538665e-05,2.533758489e-06,1.94882692975e-05,5.26879684275e-06,2.93213009225e-05,3.672150211e-06,1.7019714225e-05,0.00017401755335,2.64423470775e-05,7.4509295415e-05,2.825430924e-06,7.0849736515e-06,3.65654399e-05,1.64949549366667e-06,1.5514547165e-06,3.81770065725e-06,5.9090967695e-05,3.2830839355e-06,2.45875311825e-06,9.5976425535e-06,5.73017833075e-05,4.4084558925e-06,1.175801449e-05,4.29467215475e-06,7.0829168835e-06,1.94286833625e-05,5.689999403e-06,1.8597378895e-06,8.8962927525e-06,1.33384126275e-05,0.0001344507729,1.162576868e-06,8.082532518e-05,3.22482932425e-06,5.37509399525e-06
