genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,2.90889560675e-05,1.45589790375e-05,1.4054014005e-05,2.58577783025e-06,9.89579319275e-06,1.807910404e-05,5.5142974725e-05,3.7481263965e-06,6.29474060325e-05,0.000135689093833333,4.34846727033333e-05,6.432110175e-05,2.735566278e-06,1.38480711466667e-05,2.91798739133333e-05,1.62014880366667e-06,1.34486018266667e-06,3.893835087e-06,5.71975264225e-05,3.96264851175e-06,2.93266287275e-06,1.767118882e-05,4.29339208475e-05,4.4321607215e-06,1.16531291775e-05,5.471710186e-06,7.258670075e-06,2.938257063e-05,6.0199320035e-06,1.59136515925e-06,3.88557505675e-05,1.343281503e-05,0.0001400948308,1.2852415505e-06,6.141274575e-05,3.10046493833333e-06,4.69036127233333e-06
Col-0,3,3.19180966325e-05,1.15971426895e-05,1.0791968563e-05,2.54382027225e-06,1.0283131875e-05,1.39711936305e-05,4.00399143175e-05,3.88203284125e-06,4.25612536225e-05,0.00016180555165,3.91459982533333e-05,5.68201048475e-05,2.64137649125e-06,7.84374996433333e-06,3.060103514e-05,1.486057597e-06,1.27486617033333e-06,3.7326237905e-06,4.312774369e-05,3.56940897425e-06,2.452670103e-06,1.75614149025e-05,3.25179391466667e-05,4.39580632825e-06,1.1415394325e-05,4.55418919666667e-06,6.91355379575e-06,3.67216845666667e-05,5.741199023e-06,1.10820153925e-06,4.1739403925e-05,1.10792975966667e-05,0.0001179165857,1.26087034225e-06,5.72664882025e-05,3.0251168535e-06,3.92343385166667e-06
Col-0,27,4.37368767825e-05,1.01628728385e-05,1.10564491366667e-05,2.17718335925e-06,9.17482615175e-06,6.0520726415e-06,1.99612387525e-05,3.749673461e-06,1.8009473245e-05,0.00013404402675,2.6982518095e-05,7.66277926175e-05,2.64892837775e-06,5.32684671375e-06,3.06846182125e-05,1.537325019e-06,1.33896120675e-06,3.81987774075e-06,2.35467859325e-05,3.489143047e-06,2.36794547666667e-06,1.78764105233333e-05,4.28480041375e-05,4.365759024e-06,1.14653011275e-05,3.980072116e-06,6.93057704375e-06,3.24603961425e-05,5.68542973925e-06,1.58236457625e-06,3.48756115425e-05,1.30594479975e-05,0.0001045816120125,1.257109228e-06,4.60403737266667e-05,2.92831585766667e-06,3.47222325975e-06
Col-0,75,3.448492828e-05,9.22797321275e-06,1.02029475385e-05,2.066836459e-06,1.0441945422e-05,6.8168809385e-06,3.547514767e-05,3.66923376775e-06,2.20553988875e-05,0.0001443378337,1.75596453725e-05,8.4479689425e-05,2.664381909e-06,4.355168178e-06,2.5349942955e-05,1.5461232625e-06,1.3527036145e-06,3.683422455e-06,3.59621224675e-05,3.095360761e-06,2.32147514666667e-06,1.88852467933333e-05,4.34024508475e-05,4.18832972975e-06,1.14211664675e-05,3.26985294375e-06,6.67026833725e-06,4.62137995933333e-05,5.12141948633333e-06,1.29421322825e-06,2.382750189e-05,1.67280190125e-05,0.000111391117125,1.302707102e-06,4.578157963e-05,2.93393077175e-06,3.2562065395e-06
Col-0,123,3.28443113525e-05,9.20549378725e-06,1.0055501801e-05,1.99222024866667e-06,9.721256935e-06,6.8090280555e-06,4.328396172e-05,3.66363596525e-06,1.725667094e-05,0.00012535846457,1.64431077275e-05,6.33413661033333e-05,2.790854663e-06,4.79850040066667e-06,3.0994306475e-05,1.37553962675e-06,1.14619798575e-06,3.5585934485e-06,4.2307646315e-05,3.1729189805e-06,2.25770906875e-06,2.12902136733333e-05,4.2331178175e-05,4.612692623e-06,1.15654364733333e-05,3.041481442e-06,6.862797525e-06,4.28259154333333e-05,5.1941108655e-06,1.0575745225e-06,2.4450109965e-05,1.9293066245e-05,0.000102381620366667,1.2987770335e-06,7.049359038e-05,2.97300646375e-06,2.5256167055e-06
ggt1-1,-21,2.374854174e-05,1.3134680565e-05,1.886709983e-05,2.7629766335e-06,2.01501226375e-05,5.34527294333333e-06,1.94338870325e-05,3.97671879625e-06,2.08312028125e-05,0.000223426364333333,5.69007363075e-05,5.765158727e-05,3.527703716e-06,8.330439573e-06,3.28541293066667e-05,1.8746321335e-06,2.016013121e-06,3.95886650066667e-06,7.281816888e-05,5.2793911275e-06,2.565024759e-06,1.113202844675e-05,4.69506695625e-05,4.51108484866667e-06,1.15764489e-05,5.28648594433333e-06,1.163396123775e-05,2.40779090895e-05,6.308261607e-06,2.433538838e-06,9.43868677966667e-06,1.076423384375e-05,0.0001356584396,1.1856741955e-06,6.93803052875e-05,3.61582013075e-06,6.925417612e-06
ggt1-1,3,2.11269051675e-05,1.412780189e-05,1.5480406615e-05,3.11669619425e-06,1.93981261125e-05,4.195156896e-06,1.186150344e-05,4.94667581466667e-06,1.19278534125e-05,0.0002853438331,4.81098021725e-05,6.7577841595e-05,3.083619955e-06,5.09939787225e-06,2.708401462e-05,1.86967053375e-06,1.69571204866667e-06,4.505980587e-06,2.5879104965e-05,3.72932074025e-06,2.49841450233333e-06,1.095618151525e-05,5.88710650825e-05,4.411335213e-06,1.19854843275e-05,5.13246766233333e-06,8.35475560033333e-06,3.20163238375e-05,6.59952323525e-06,2.12822093375e-06,1.27710243775e-05,1.2757776195e-05,0.000111621253075,1.19012839225e-06,8.152008727e-05,3.45748099325e-06,5.75264630133333e-06
ggt1-1,27,2.08869090775e-05,1.197731668e-05,1.55952626125e-05,2.52470263425e-06,1.35640250175e-05,3.91070714875e-06,9.955512518e-06,3.8540016475e-06,1.0333079771e-05,0.000248671748675,3.42312554925e-05,7.84898050266667e-05,3.1341697585e-06,4.68949392733333e-06,2.90316932175e-05,1.7546658845e-06,1.559011874e-06,4.713372825e-06,1.60262373066667e-05,3.04478639725e-06,2.291325335e-06,9.15011814466667e-06,5.25207839275e-05,4.405878186e-06,1.19329072533333e-05,4.64321985866667e-06,8.93332185825e-06,2.527193980275e-05,6.3385734735e-06,1.57213367875e-06,1.103190021e-05,1.057066846325e-05,0.000106217007575,1.18118933125e-06,6.74882469575e-05,3.36055911425e-06,4.47740629566667e-06
ggt1-1,75,2.53780872525e-05,1.15240858233333e-05,1.65007475e-05,2.37802209575e-06,1.287934503e-05,3.800649862e-06,1.159188282975e-05,4.1022641215e-06,1.07647399633333e-05,0.000249549816525,3.03789919333333e-05,7.779051574e-05,2.96590831966667e-06,4.85845213575e-06,2.944488334e-05,1.81258661933333e-06,1.553474505e-06,4.415649248e-06,2.73308862325e-05,3.873641958e-06,2.3620210205e-06,9.598829139e-06,4.695736177e-05,4.37301379525e-06,1.16362791075e-05,4.21153490725e-06,8.29469250175e-06,2.90312390825e-05,5.9547300365e-06,1.90982058125e-06,1.284253155e-05,1.093710073e-05,0.000106335925066667,1.20016266625e-06,9.01575520266667e-05,3.37531412925e-06,4.47583213525e-06
ggt1-1,123,4.00731677025e-05,8.53225028266667e-06,1.38533779033333e-05,2.09438547575e-06,1.46182890075e-05,3.85435138933333e-06,1.38582095275e-05,3.25001089433333e-06,9.04146467025e-06,0.0001708787635,2.0427630585e-05,7.188609245e-05,2.751431422e-06,4.84282212575e-06,2.63858140266667e-05,1.459067068e-06,1.17495139625e-06,3.799563392e-06,3.07468057875e-05,2.65314170133333e-06,2.2024614595e-06,8.50852829575e-06,5.07121945625e-05,4.43247262433333e-06,1.1651295015e-05,3.35772339425e-06,7.00345103833333e-06,1.81075325166667e-05,5.46215994775e-06,1.58904409225e-06,9.2918962585e-06,1.11144515166667e-05,0.00010212003184,1.173038213e-06,8.0610807005e-05,3.06944589575e-06,3.189704815e-06
