genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,7.91642131749226e-06,2.990901931291e-06,2.41027980751474e-06,1.25042074187529e-07,1.50523018498819e-06,2.97387944632149e-06,4.19625593353623e-06,1.9650695916776e-07,1.27701699754692e-05,5.12621828742467e-06,1.60803527499137e-06,7.02645648181141e-06,2.47232755017633e-07,8.29240011800932e-07,1.98036772184484e-06,3.98721911557503e-08,2.05482259120545e-08,1.6455126050451e-07,1.045576343957e-05,3.08223086228941e-07,2.32043958923721e-07,1.36965483326856e-06,7.1721202260679e-06,2.21528235920984e-07,3.95083018663808e-07,2.84412742617716e-08,4.13172046385752e-07,1.80312504531524e-06,2.21263576715699e-07,3.00291705407328e-07,3.45579150704007e-06,7.5640338605542e-07,4.42990748716997e-06,3.34363632797027e-08,3.77592813685102e-06,7.13029625333243e-08,1.13989594913522e-07
Col-0,3,1.08376320357874e-05,1.10873982145166e-06,8.16138870793765e-07,1.13775148731875e-07,1.35735529173878e-06,3.47817040031185e-06,1.24736674782588e-05,2.47009066543875e-07,1.01759998156489e-05,7.3967211952725e-06,1.94064008311018e-06,7.71246902665304e-06,1.70417627370593e-07,3.35303011710735e-07,1.6194448074048e-06,3.69609696689385e-08,2.75289910816952e-08,8.38920908945359e-08,1.71311939935674e-05,1.31179879264463e-07,2.91823283449264e-08,1.4105945975617e-06,8.94852161439148e-07,1.24510548008968e-07,7.10126883286022e-08,7.50101107634392e-08,2.33939262330136e-07,1.18026827835977e-06,1.64553294188281e-07,5.61942253554669e-07,2.32750444859083e-06,7.01867208763222e-07,9.44848638617768e-06,2.13620912646608e-08,7.49208375827206e-06,5.49720592371316e-08,6.90100598334736e-08
Col-0,27,1.26103874289351e-05,1.20722336650379e-06,5.42012076811341e-07,5.9007759627044e-08,6.08834742800843e-07,1.04182675547889e-06,6.5015371628321e-06,1.52618604468489e-07,5.64881153183005e-06,1.60527439445975e-05,6.63277262713561e-06,7.82618915362451e-06,1.90370362492372e-07,3.77644721460619e-07,3.09259859937728e-06,1.13976367721345e-07,1.04660741742436e-07,1.54969682632414e-07,6.80146814618684e-06,2.31480641275809e-07,3.09924198973647e-08,6.5129652442302e-07,6.39522285972079e-06,9.76881084191841e-08,1.33714537926325e-07,1.98625796200604e-07,3.38444051807998e-07,3.2580974372151e-06,2.84309159074093e-07,4.43138344736712e-07,3.30758166997588e-06,1.55346614213856e-06,6.01331774272159e-06,1.31614041583111e-08,8.21245201472547e-07,3.98185280896012e-08,3.40574445572865e-07
Col-0,75,1.01643349107059e-05,4.66242191877212e-07,8.51411841146419e-07,3.36547983567427e-08,7.80176520445382e-07,1.0813818829413e-06,6.36122445085672e-06,2.35853829103949e-07,3.71088849392872e-06,1.53935926296415e-05,1.69775520722994e-06,7.43609346150401e-06,1.64625253291705e-07,6.55820895635283e-09,2.14342659073424e-06,2.17990719893789e-07,2.38274232901378e-07,1.71716573235745e-07,1.63152685545613e-06,2.53196117366407e-07,3.01755179003126e-08,3.60775525021794e-07,6.76670496529006e-06,5.10465051246575e-08,4.0767624317477e-08,1.7374088121395e-07,2.39401795912553e-08,2.74474301328109e-06,4.46405910048574e-08,3.15623055734861e-07,8.51807962541928e-07,1.4727292895992e-06,7.08204444739972e-06,1.02648361203837e-08,4.82221180284998e-06,4.23353432849276e-08,4.91461236341146e-07
Col-0,123,1.35096009907181e-05,1.01229867659029e-06,8.17923063556349e-07,4.78992607240403e-08,7.26542578112888e-07,1.36852947297299e-06,1.6822461747956e-05,2.9559473235799e-07,4.23449543620554e-06,2.85523835152994e-05,3.60206456339763e-06,1.56991845002966e-06,1.63821610724537e-07,1.04509733699881e-07,2.60247039297634e-06,1.21271893378029e-07,1.04544101736618e-07,9.64294470010366e-08,1.79289360703812e-05,2.99741190921944e-07,7.31673023017677e-08,3.49807135373906e-07,5.94013999260923e-06,1.06068169070259e-07,3.32378967711639e-07,1.39358184196485e-07,1.61611051163271e-07,3.43095191499423e-06,1.81429250460764e-07,2.37979312352848e-07,1.74609706125946e-06,3.1897157978144e-06,2.61223319834877e-06,4.40123120411563e-08,2.73877394102033e-06,8.86168845584729e-08,2.80992447811488e-07
ggt1-1,-21,4.9497053884909e-06,1.67154750857476e-06,2.786578067409e-06,2.18645032515415e-07,3.7926077364155e-06,3.20026583911658e-07,1.80748612350887e-06,4.73314144989743e-07,6.76510108138491e-06,1.41151700695361e-05,8.91883224129481e-06,1.24559101390491e-05,2.32281224749259e-07,3.97219181999847e-07,1.08389808175713e-06,2.7634660222886e-07,3.06157171394842e-07,1.51397169756407e-07,3.5615241294007e-06,1.54843457305269e-06,2.17730518871332e-07,2.61081533973706e-06,5.79587039969052e-06,5.58503350746919e-08,2.19380507513691e-07,2.39978773467129e-07,2.10018400066594e-06,1.07380430853061e-05,6.01716015445414e-07,2.73048723849544e-07,5.29884727067182e-07,1.48814672141398e-06,1.34051281328042e-05,1.74442356915679e-08,1.62638800464378e-05,2.33245848660551e-07,1.50858602317942e-06
ggt1-1,3,6.28890191642912e-06,2.23891692339626e-06,1.5330280155589e-06,1.83830761540388e-07,2.6995767949234e-06,1.01000456103227e-07,7.40736628784254e-07,3.23338252222886e-07,1.11717968215101e-06,2.62696697146002e-06,9.62066055347858e-06,5.03974426216309e-06,5.70310950865853e-08,2.59224198447288e-07,8.53686104894963e-07,7.16062885638638e-08,4.12485376963107e-08,2.99082989639464e-08,4.06776714777107e-06,5.32146278799404e-07,1.2334381434036e-08,1.26294796305622e-06,6.32861791942141e-06,9.03177605799904e-08,1.26258402416469e-07,2.04641380220852e-07,2.22303489706496e-07,3.62542749479942e-06,2.03577885096573e-07,3.21196489483699e-07,5.2474485518379e-07,7.64696736074935e-07,5.68954765824631e-06,1.77881232018741e-08,4.03300165785507e-06,1.07575732581182e-07,5.08410340395371e-08
ggt1-1,27,2.04348324975205e-06,9.93859539289634e-07,2.47176174414201e-06,4.52916448627641e-08,3.03055292147502e-06,2.41220523993372e-07,3.2324433572747e-07,2.61435358675821e-07,1.17415378226712e-06,2.83307992958861e-05,4.88944361330069e-06,4.64877217095574e-06,3.12665568834904e-07,9.12195488154989e-08,3.00351896742955e-06,4.06003610901409e-08,2.62174274184108e-08,2.42757562693975e-07,1.58037357578878e-06,5.69724338897863e-07,1.0554491694386e-07,1.49493870764245e-07,6.56895312744149e-06,2.43098558083381e-08,2.03028569671982e-07,1.31474435771869e-07,8.56439572718789e-07,9.59562360791887e-06,4.04046459609939e-07,2.96229149380152e-07,2.34942696047104e-07,1.71939914064839e-06,1.44053642494609e-06,1.26905484563526e-08,4.13333182970739e-06,6.7695318767051e-08,7.51031931605597e-08
ggt1-1,75,4.28704273400872e-06,2.26652602727701e-07,4.05796457809055e-07,6.05270397383107e-08,6.51353368859947e-07,8.51983618757889e-08,1.53554581875813e-06,3.57867061015179e-07,2.93884815155765e-07,9.40505203277687e-06,1.35812103868725e-06,2.78871816523097e-06,7.61381032875025e-08,1.65125779888447e-07,1.94205236492292e-06,2.26174143960304e-08,1.18432855551117e-07,2.50634340058779e-07,8.69154818117828e-06,9.88126263459357e-07,2.65427757739203e-08,6.69823673956638e-07,9.12624306672637e-07,1.29415472352204e-07,1.98464345856448e-07,2.7906841790465e-07,8.55039362926281e-07,3.40065382186325e-06,3.11543376098387e-07,2.60351634803785e-07,3.86794256873285e-07,6.094783536826e-07,2.01188036096785e-06,1.52380614454828e-08,2.06009510191398e-06,1.73033124601206e-07,2.93446909127311e-07
ggt1-1,123,1.42549080296215e-05,1.38006045620296e-07,5.01353736062903e-07,1.25524242352734e-07,1.57367470928181e-06,1.19986120685666e-07,1.77899161509985e-06,4.32878929344035e-08,6.93006888511405e-07,4.0825924643089e-06,6.52064010898443e-06,5.38889415043938e-06,6.13381648086767e-08,5.87711498744091e-07,9.28852804899008e-07,1.84049330997954e-07,1.21378790750441e-07,4.48919359677785e-07,4.14678404333579e-06,1.06954297604653e-07,3.97583245850237e-08,2.08763285446967e-06,6.08823311127881e-06,1.11945976829856e-07,2.46786309114512e-07,5.15135513890988e-07,1.16227852957062e-07,3.1488065900441e-06,4.76059997914251e-07,4.54816768257027e-07,1.55685435304164e-06,4.49537640524881e-07,3.18463493856568e-06,2.72925112345107e-08,9.96558755886016e-06,1.61654219733847e-07,5.3348650264768e-07
