genotype,time,Alanine,Asparagine,Aspartate,BetaAlanine,Citrate,Fructose,Fumarate_carefulMaleic,GABA,Glucose,Glutamate,Glutamine,Glycerate,Glycerol,Glycine,Glycolate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,MyoInosirtol,Nicotinamide,Oxoglutarate,Palmitate,Phenylalanine,Phosphate,Proline,Putrescine,Pyruvate,Serine,Succinate,Sucrose_overload,Threitol,ThreonicAcid,Tryptophan,Valine
Col-0,-21,8.95163631243254e-06,1.51537309766262e-06,2.98054292447205e-06,7.86508410013693e-08,4.02445844016005e-07,8.32283108088789e-06,3.03175340814057e-07,2.52597415055872e-07,1.7890523879321e-05,2.85825171617085e-06,1.70312378150124e-05,6.68368353215434e-06,8.4655498695089e-08,8.61553907727582e-07,3.1840133870661e-06,1.47372664235019e-07,1.00352140182383e-07,3.53201025975035e-07,4.65763769843962e-06,3.93611711354739e-07,1.09327140401189e-07,1.77304376817533e-06,3.04218277285369e-06,1.04523400001564e-07,2.12008559052561e-07,1.06302877917932e-06,9.60215935735767e-07,5.42448594507069e-06,7.09905319019128e-07,1.36328984402428e-07,5.02354904282564e-06,9.80683876076357e-07,5.59318671927345e-06,1.84511521660349e-08,7.77337335985782e-06,1.1615691251992e-07,5.71570767650208e-07
Col-0,3,4.2320448559699e-06,4.24647149112448e-06,1.37028111570131e-06,8.01131119934411e-08,3.24294310342819e-07,1.47764591020232e-05,5.75271222294688e-06,3.0641390956774e-07,2.79110742894349e-05,1.95540737467025e-05,8.51315921918809e-06,8.85364737650753e-06,1.33839785152299e-07,2.40588436220053e-06,9.84170268600638e-07,6.19920075189543e-08,5.62540988270251e-08,1.55496727969226e-07,7.31783743293918e-06,4.63210905382903e-07,2.3107668501808e-07,1.10221842185806e-06,1.22610902634428e-05,2.41622647280473e-07,1.47426892519843e-07,3.88860065203749e-07,4.23094930655829e-08,3.29901706795539e-06,1.05650249576084e-07,2.79565921482316e-07,2.62753628153643e-06,1.64500878188092e-06,1.16819826297192e-05,2.49003231011075e-08,1.03737246366877e-05,4.19879986122194e-08,5.67890339969072e-07
Col-0,27,1.54699968855201e-06,7.86051315643998e-07,9.27759442735096e-07,1.72594335158104e-07,5.30825200718468e-07,7.17996671987192e-06,6.10610854946397e-06,3.95489018686207e-07,1.05237142526283e-05,2.81529454141362e-05,9.48991316954831e-06,1.03995161212935e-06,1.48923997569899e-07,3.27741712707538e-06,1.87658946318662e-06,5.28915970082036e-08,1.04457850317656e-07,1.76696178332524e-07,1.05186195614514e-05,2.75616834554729e-07,1.69508949480478e-07,1.1294575917966e-06,2.23771623123804e-06,3.08635761856733e-07,2.03313867882877e-07,5.8046463503358e-07,2.99222744945979e-07,2.34246653486067e-06,4.34356152075709e-07,3.96667022550194e-07,3.01368568160933e-06,3.81094986694389e-06,4.14205818371239e-07,1.25164422249154e-08,7.67005478884024e-06,9.37611742818698e-08,7.2943561676731e-07
Col-0,75,1.35774760031605e-06,7.91220116946137e-07,9.54030336277157e-07,8.55606289135906e-08,7.73718380654567e-07,7.92130070097106e-06,1.78921502677823e-06,2.65106473291672e-07,8.49836803356356e-06,2.77900420927053e-06,2.71517582168453e-06,1.04591856987417e-05,1.04214119910831e-07,2.28305626851409e-06,1.84040225547061e-06,1.19690808535392e-07,1.0452912172248e-07,7.42638225248269e-08,4.58473852804359e-06,3.51568222111127e-07,7.24682828292138e-08,3.70641376125475e-07,2.55661773120314e-06,1.59260044759479e-07,1.9092903593225e-07,3.0781148894512e-07,2.09269381050287e-07,3.545949848779e-06,3.64455005594141e-07,2.99085700508133e-07,4.70560067548454e-07,1.86732689363181e-06,3.748495183597e-06,3.15482188951492e-08,8.00274612998359e-06,9.07356848650694e-08,1.22128578435841e-07
Col-0,123,4.11357055501538e-06,2.48588597040182e-07,4.68598606238812e-07,1.40812570825153e-07,9.39417090136719e-07,1.31088531347764e-05,1.14753051474448e-05,1.83620765945857e-07,1.37151152565911e-05,8.79627795897381e-06,3.21004642924275e-06,6.862672325012e-06,3.24588081045474e-08,1.13153724495772e-06,1.77858122496364e-06,3.73012493318363e-07,2.30547348819689e-07,6.94955571839801e-08,8.89140547615482e-06,2.67626284573147e-07,4.66447905719657e-08,2.76890286844787e-06,1.15837412249848e-06,3.59898507218534e-08,3.13885624260594e-07,5.20855091582146e-07,1.71242523469051e-07,6.91314021297689e-06,2.43040720093757e-07,3.39608978285651e-07,1.94332525415456e-06,2.00346178973086e-06,5.01321821953838e-06,2.56653353230092e-08,9.49078597926563e-06,1.72361655135994e-07,1.00504458359765e-06
ggt1-1,-21,4.67877509590765e-06,3.60844268686707e-07,1.39072491729707e-06,6.91397835495042e-08,3.91237008115281e-06,2.65552775370732e-07,4.05136884508818e-06,6.52665905154427e-08,1.13087856217701e-06,7.05866134791726e-06,4.96121374559206e-06,3.84718858934687e-06,1.31631840501452e-07,5.88202258327388e-07,1.98391528443458e-06,2.04123183771028e-08,4.70902641485851e-08,1.55067246231205e-07,1.02375764775638e-05,1.88684115949386e-07,7.13099341731079e-08,1.39479994424466e-06,6.01525602519911e-06,1.48989750515682e-07,1.60888546370425e-07,1.57358030207173e-07,4.01659320251061e-07,2.50924818236414e-06,2.36306454055653e-07,5.92738356359307e-08,2.08672101958022e-07,8.5039174219165e-07,2.96746864951267e-06,2.57336421386926e-08,7.67678136969485e-06,9.80493741719646e-08,2.33405257271359e-08
ggt1-1,3,5.99347853152644e-06,8.04336609638967e-08,1.03977619134053e-06,4.33523321961867e-08,7.41510502979457e-06,2.59355839685448e-07,5.46576087801645e-06,7.35559157096623e-08,2.60037925157315e-07,1.68906542397885e-05,4.93238043063418e-06,5.79215594217465e-06,6.12293048794925e-08,1.06511100230907e-07,2.4564781677192e-06,2.8845076931577e-08,3.51753144046368e-08,3.20330755132806e-08,7.92936471846274e-06,2.46495819073426e-07,4.62517853603772e-08,3.48787634091911e-07,2.27709117759824e-06,1.36500568615815e-07,1.36664633400317e-07,1.18986818074732e-07,5.28768966092245e-07,2.38941885151925e-06,1.93473390621838e-07,9.21333426398892e-08,2.98133982700398e-07,3.36015767819764e-07,5.32313592957554e-06,1.76989742386806e-08,9.02939457925778e-06,4.7018942503977e-08,4.03467873645752e-07
ggt1-1,27,5.62457241949075e-06,1.12924699448502e-06,3.59899484750001e-06,1.08004005639881e-07,2.92031322185593e-06,3.063526454798e-07,5.18443099213047e-06,1.7774880690303e-07,2.37023707894185e-06,1.81135758625219e-05,8.0850384869359e-06,1.40256985442145e-06,5.14531668565332e-08,4.21172967283908e-07,1.12007206211003e-06,1.03171132714819e-07,1.13203017866453e-07,1.91114311785099e-07,8.86429913360166e-06,7.9213949901662e-07,7.39145635994408e-08,3.94855044628801e-08,8.79164474306996e-06,5.95823460531782e-08,1.07523639724237e-07,5.49081181783519e-08,6.37081986631883e-07,2.93349220366058e-06,1.6708715716205e-07,6.03743998948819e-07,1.99205060058996e-07,5.38599352651345e-07,3.05930659515657e-06,1.23687841901374e-08,4.02562951664961e-06,2.06750240084919e-07,4.87887676555601e-07
ggt1-1,75,7.93006416473754e-06,7.54526213430094e-07,1.05572082758148e-06,1.93284526071542e-08,1.54969117219637e-06,8.00715323398235e-08,8.346965997033e-07,1.61208953384572e-07,5.17537805852329e-07,2.28015592500185e-05,3.97946067114302e-06,5.00940844873208e-06,9.55620889350577e-08,1.0210660333166e-07,1.25965107438721e-06,2.51050820076681e-08,4.47528892872611e-08,1.03539265585824e-07,1.51449749719437e-06,1.33556279624469e-07,3.3743872719468e-08,5.66645778057552e-07,6.74570982398871e-06,4.10509329561472e-08,2.65604135718669e-07,1.8428403134751e-07,2.35233958028198e-07,4.10060599383177e-06,1.3580961689355e-07,3.37308421235157e-07,1.18487845643283e-07,6.58955749436906e-07,5.85681841646995e-06,1.00890108191906e-08,1.11221218124488e-05,7.35937796057325e-08,2.28722342804929e-07
ggt1-1,123,9.07489738279505e-06,6.30543757047512e-07,1.19387708034181e-06,1.1561952195476e-08,2.52344866632563e-06,3.60824407111901e-07,5.35222710363304e-06,1.57794538141746e-07,2.69204521570539e-06,2.61058827497564e-05,5.26890500653372e-06,8.21045741419367e-06,1.42949113194897e-07,1.95261928881368e-07,4.91145236215708e-06,8.79903147521944e-09,4.77504967160015e-08,9.60695330149017e-08,4.86005582890617e-06,1.12252779615123e-07,7.51804090214849e-08,4.96483228732295e-07,7.17167525000276e-06,1.53078147594077e-07,2.56715768434498e-07,3.43817402442733e-07,1.74834052762985e-07,5.05160129794209e-06,1.3755218975624e-07,2.68146799878063e-07,7.32678788384764e-07,1.19167072186318e-06,2.22308245775375e-06,1.87065085932977e-08,2.15115788996856e-06,6.47007562961542e-08,1.90189991891787e-07
