Row,MW,Cross2006,Usadel2008,Lugan2009,Sulpice2009,Tschoep2009,Gibon2009,Arrivault2009,Sulpice2010,Ishihara2015
"Glucose",180.0634,0.00167458962,0.00129645648,0.001249639996,0.005401902,0.0070224726,0.0055819654,0.002103140512,0.0053635484958,0.00471766108
"Fructose",180.0634,0.00079227896,0.00138648818,0.000707649162,0.0023408242,0.0012604438,4.96974984e-05,0.000673437116,0.0023410042634,0.00109838674
"Sucrose",342.1162,0.0123161832,0.00318168066,0.00369485496,0.013684648,0.0130004156,0.008552905,0.01200827862,0.01366754219,0.00773182612
"Starch",342.1162,0.169347519,NaN,NaN,0.13684648,0.1498468956,0.1046875572,0.1310305046,0.136890955106,NaN
"Nitrate",62.005,0.105098475,NaN,NaN,NaN,NaN,0.08147457,NaN,NaN,NaN
"Aspartate",132.0297,0.00299707419,NaN,0.002973308844,0.0025085643,0.0029046534,NaN,0.002167927674,0.0024741045483,0.00015843564
"Glutamate",146.0453,0.00413308199,0.00094929445,0.011122810048,0.0024827701,0.0075943556,NaN,0.006461044072,0.0024840845077,0.00305234677
"Alanine",89.0477,NaN,0.00108638194,0.001008910441,0.0049866712,0.00029385741,NaN,NaN,0.0049613816532,0.00126447734
"Arginine",175.1195,NaN,0.0013659321,NaN,0.0022765535,0.0006654541,NaN,NaN,0.0022765535,NaN
"Citrulline",175.19,NaN,0.002049723,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Fumarate",114.06,NaN,0.001049352,0.0056607978,0.00901074,0.00501864,0.01152006,NaN,0.00361205208,0.005828466
"GABA",103.12,NaN,0.00118588,0.0001918032,0.00072184,1.85616e-05,NaN,NaN,0.00071606528,NaN
"Glutamine",146.14,NaN,0.00138833,0.005852907,0.0014614,0.0058456,NaN,NaN,0.00139022982,NaN
"Glycerate",106.08,NaN,0.001039584,0.0001920048,0.00127296,NaN,NaN,0.000307632,NaN,NaN
"Glycine",75.07,NaN,0.00082577,0.000210196,0.00502969,0.000578039,NaN,NaN,0.00499748497,0.002071932
"Isoleucine",131.17,NaN,0.000865722,7.8702e-05,0.00065585,3.80393e-05,NaN,NaN,0.00069192175,NaN
"Leucine",131.17,NaN,0.000747669,9.31307e-05,0.00065585,4.85329e-05,NaN,NaN,0.00067080338,NaN
"Malate",134.09,NaN,0.000925221,0.0096021849,NaN,0.00496133,0.00348634,0.0043203798,0.00449724451,0.000884994
"Methionine",149.21,NaN,0.001686073,5.37156e-05,0.00193973,2.83499e-05,NaN,NaN,0.0019621115,NaN
"Phenylalanine",165.19,NaN,0.001916204,0.0001536267,0.00231266,0.000148671,NaN,NaN,0.00224047197,0.000578165
"Phosphate",94.971,NaN,0.0009307158,NaN,NaN,NaN,NaN,NaN,0.002225360472,NaN
"Proline",115.13,NaN,0.000828936,0.001254917,0.00437494,NaN,NaN,NaN,0.00442697876,NaN
"Putrescine",88.15,NaN,0.000608235,NaN,0.00079335,NaN,NaN,NaN,0.00075306545,NaN
"Pyruvate",87.05,NaN,0.00094014,NaN,0.0006964,NaN,NaN,2.24589e-05,0.0006988374,NaN
"Raffinose",504.4,NaN,0.00110968,2.0176e-05,0.0105924,NaN,NaN,NaN,0.010456212,NaN
"Serine",105.09,NaN,0.000714612,NaN,0.00399342,0.004771086,NaN,NaN,0.00401433291,0.001975692
"Shikimate",174.15,NaN,0.001724085,NaN,0.0027864,NaN,NaN,6.739605e-05,0.00277473195,NaN
"Succinate",116.07,NaN,0.000916953,0.0005211543,0.00069642,NaN,NaN,0.0001416054,0.00068214339,0.000139284
