ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
Tr_ORO,ORO exporter,transport,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
Tr_DHO1,DHO shuffle,transport,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
Tr_DHO2,DHO shuffle,transport,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
Im_Pi,Import Pi,import,0.00188128450828868,0.00209983447968061,0.00115792007209023,0.00115792007205561
Bio_opt,Light limiting biomass,biomass reaction,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
protein,protein pseudoreaction,,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
DNA,DNA pseudoreaction,,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
RNA,RNA pseudoreaction,,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
carbohydrate,carbohydrate pseudoreaction,,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
lipid,lipid pseudoreaction,,0.0001476,0.000164722669225006,9.08469728102875e-05,9.08469728102875e-05
DHFR_cNo1,Dihydrofolate reductase (No1),THF recycling,0.000102258756,0.000114117494249626,6.29396918671841e-05,6.29396918672174e-05
arm_TRXR_c,Thioredoxin reductase (arm),TRX recycling,0.000317161404,0.000353927047888678,0.000195211067974013,0.000195211067974044
arm_ATase_h,ATase (arm),IMP synthesis,0.00030150104399862,0.000336526604652194,0.000185572203206479,0.000185572203182952
PRAGlyL_hNo1,PRA-Gly ligase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
GARFT_hNo1,GAR formyltransferase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
FGAMS_hNo1,FGAM synthase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
FGAMCL_hNo1,FGAM cyclo-ligase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
AIRC_hNo1,AIR carboxylase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
SAICARS_hNo1,SAICAR synthase (No1),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
arm_DCAMPL1_h,Adenylo-SCA lyase (arm),IMP synthesis,0.000301501043998926,0.000336489058301977,0.000185572203206479,0.000185572203182952
AMPDA_cNo1,AMP deaminase (No1),GMP synthesis,0.000114565644,0.00012786705968912,7.05145119842264e-05,7.05145119842605e-05
arm_IMPDH_c,IMP dehydrogenase (arm),GMP synthesis,0.000114565644,0.00012786705968912,7.05145119842264e-05,7.05145119842605e-05
GMPS_cNo1,GMP synthase (No1),GMP synthesis,0.000114565644,0.000127874804921559,7.05145124601059e-05,7.05145124601391e-05
AspCT_hNo1,Asp carbamoyltransferase (No1),UMP synthesis,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
DHOase_hNo1,DHOase (No1),UMP synthesis,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
DHODH_mNo1,DHO dehydrogenase (No1),UMP synthesis,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
OROPRT_cNo1,ORO PR-transferase (No1),UMP synthesis,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
OMPDC_cNo1,OMP decarboxylase (No1),UMP synthesis,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
arm_CTPS_c,CTP synthase (arm),CTP synthesis,0.000132845904,0.000148278693904327,8.17659106771658e-05,8.17659106771983e-05
arm_GMPK_c,guanylate kinase (arm),nucleotide metabolism,0.000114565644,0.000127874804921559,7.05145124601059e-05,7.05145124601391e-05
NMPK_cNo1,UMP/CMP kinase (No1),nucleotide metabolism,0.000325593791999992,0.000363418221920616,0.00020040115553066,0.000200401155530657
CTPP_cNo1,Nucleoside-triphosphatase (No1),nucleotide metabolism,5.9580216e-05,6.65016861266414e-05,3.66712903135954e-05,3.66712903136279e-05
arm_ADPR_c,Ribonucleoside-diphosphate reductase (arm),nucleotide metabolism,0.000100502316,0.000112177731507927,6.18586135252474e-05,6.18586135252798e-05
arm_CDPR_c,Ribonucleoside-diphosphate reductase (arm),nucleotide metabolism,5.9580216e-05,6.65016861266414e-05,3.66712903135954e-05,3.66712903136279e-05
arm_GDPR_c,Ribonucleoside-diphosphate reductase (arm),nucleotide metabolism,5.4820116e-05,6.11886023987891e-05,3.37414754404634e-05,3.37414754404961e-05
arm_UDPR_c,Ribonucleoside-diphosphate reductase (arm),nucleotide metabolism,0.000102258756,0.000114138218216809,6.29396925016898e-05,6.29396925017225e-05
dUTPP_cNo1,Deoxyuridine-triphosphatase (No1),nucleotide metabolism,0.000102258756,0.000114117494249626,6.29396918671841e-05,6.29396918672174e-05
dTMPS_cNo1,Thymidylate synthase (No1),nucleotide metabolism,0.000102258756,0.000114117494249626,6.29396918671841e-05,6.29396918672174e-05
dTMPK_cNo1,Thymidine monophosphate kinase (No1),nucleotide metabolism,0.000102258756,0.000114117494249626,6.29396918671841e-05,6.29396918672174e-05
arm_GDPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,5.9745528e-05,6.66668171273341e-05,3.67730389231425e-05,3.67730389231754e-05
arm_dADPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,0.000100502316,0.000112177731507928,6.18586135252476e-05,6.185861352528e-05
arm_dCDPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,5.9580216e-05,6.64854769401613e-05,3.66712903135952e-05,3.66712903136278e-05
arm_dGDPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,5.4820116e-05,6.11736379221352e-05,3.37414754404634e-05,3.37414754404962e-05
arm_dTDPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,0.000102258756,0.000114117494249626,6.29396918671841e-05,6.29396918672174e-05
arm_dUDPK_c,Nucleoside-diphosphate kinase (arm),nucleotide metabolism,0.000102258756,0.000114138218216809,6.293969250169e-05,6.29396925017225e-05
