ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
DHFR_c,Dihydrofolate reductase,THF recycling,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
CTPP_c,Nucleoside-triphosphatase,nucleotide metabolism,5.77798916923875e-05,6.39445627762196e-05,3.18617549151427e-05,3.18617549151427e-05
CDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,5.77798916923875e-05,6.39445627762196e-05,3.18617549151427e-05,3.18617549151427e-05
UDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
dUTPP_c,Deoxyuridine-triphosphatase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
dTMPS_c,Thymidylate synthase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
dTMPK_c,Thymidine monophosphate kinase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
dCDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,5.77798916923875e-05,6.39445627762196e-05,3.18617549151427e-05,3.18617549151427e-05
dTDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
dUDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,9.91688221855247e-05,0.000111166553263573,5.46849884129217e-05,5.46849884129217e-05
Bio_opt,Light limiting biomass,biomass reaction,0.000143139998247045,0.000156078768479007,7.89321580417744e-05,8.77026089353049e-05
