ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
DHFR_c,Dihydrofolate reductase,THF recycling,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
ADPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,8.12872809013987e-05,0.000110403345516467,6.42720169358834e-05,6.42720169358834e-05
UDPR_c,Ribonucleoside-diphosphate reductase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
dUTPP_c,Deoxyuridine-triphosphatase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
dTMPS_c,Thymidylate synthase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
dTMPK_c,Thymidine monophosphate kinase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
dADPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,8.12872809013987e-05,0.000110403345516467,6.42720169358834e-05,6.42720169358834e-05
dTDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
dUDPK_c,Nucleoside-diphosphate kinase,nucleotide metabolism,8.27079071849396e-05,0.000112332821969517,6.5395274049947e-05,6.5395274049947e-05
Bio_opt,Light limiting biomass,biomass reaction,0.000119380359961542,0.000159311710949821,9.43913541229875e-05,0.000104879493469986
