ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
RBC_h,"RuBisCO","Calvin-Benson cycle",16.9447335451359,16.9681462308655,14.8065731701125,15.0533014928393
PGAK_h,"PGA kinase","Calvin-Benson cycle, glycolysis",46.2461165080781,46.3983137134002,43.1252247483008,45.1579571346897
FTK_h,"F6P transketolase","Calvin-Benson cycle, pentose phosphate pathway",7.21303806105362,7.22294942980349,6.3028654581644,6.40789551013235
STK_h,"S7P transketolase","Calvin-Benson cycle, pentose phosphate pathway",7.16364105342556,7.17355242253529,6.25970158041358,6.36414990707508
Ru5PE_h,"Ru5P epimerase","Calvin-Benson cycle, pentose phosphate pathway",14.3766791127158,14.3965018535312,12.5625670383023,12.772627142441
R5PI_h,"R5P isomerase","Calvin-Benson cycle, pentose phosphate pathway",7.14313249042636,7.15304386038169,6.24178087807405,6.346810929786
Ru5PK_h,"Ru5P kinase","Calvin-Benson cycle",21.5198116031507,21.5495457118913,18.8043479252137,19.1176928961015
PGI_h,"G6P isomerase","starch synthesis",-4.84462340000482,-4.60683596061248,-3.10551292859279,-2.34149624568831
AGPase_h,"G1P adenylyltransferase","starch synthesis",0.224439405705407,0.284026906398092,0.568774004692919,1.32925327406764
StS_h2,"starch synthase","starch synthesis",0.112219702852703,0.171742525038274,0.464623302390738,1.22987231670095
StP1_h,"(starch) phosphorylase","starch degradation",0,0.054739759135604,0.361663833927295,1.12668993935918
FBPA_c,"FBP aldolase","sucrose synthesis, gluconeogenesis, glycolysis",5.14090775657242,5.37869519150742,2.80817652880579,3.57219321355751
PGI_c,"G6P isomerase","sucrose synthesis, sucrose degradation, gluconeogenesis",5.12479813184785,5.36258556675642,2.79409969084141,3.5581163681549
UGPase_c,"UDPG pyrophosphorylase","sucrose synthesis, sucrose degradation, pyrophosphate recycling",0.286333952032522,0.323975571712031,0.250203085209302,0.269059036785072
CeS_c1,"cellulose synthase","cellulose synthesis",0.137273317468726,0.137698936570185,0.119951571595887,0.121898687372098
CeS_c2,"cellulose synthase","cellulose synthesis",0.137273317468726,0.137698936570185,0.119951571595887,0.121898687372098
Enol_c,"Enolase","gluconeogenesis, glycolysis",-2.12662198359738,-0.719355576901044,-2.66792605615046,-2.23739556244109
PGAM_c,"PGA mutase","gluconeogenesis, glycolysis",-2.12662186155258,-0.719355576898506,-2.66792605527146,-2.23739557453842
PGAK_c,"PGA kinase","gluconeogenesis, glycolysis",-9.37013838140992,-9.21678529159564,-10.8981341685046,-10.1899223384892
GAPDH2_c,"GAP dehydrogenase","gluconeogenesis, glycolysis",9.21678528980672,9.37013837791779,10.1899223383594,10.8975580416903
GAPDH3_c,"GAP dehydrogenase","glycolysis",0,0.0613412345134385,0.342325299253545,1.85245984894145
PyrK_c,"Pyr kinase","glycolysis",0,1.00669800182306,1.30055181372894,2.01183159325126
PyrDH1_m,"Pyr dehydrogenase","pyruvate decarboxylation",2.54274265851979,2.56592961725421,2.11500213072705,2.23222710096938
PyrDH2_m,"Pyr dehydrogenase","pyruvate decarboxylation",2.54274265851979,2.56592961725421,2.11500213072705,2.23222710096938
DHLAcT_m,"DHL acetyltransferase","pyruvate decarboxylation",2.54274265851979,2.56592961725421,2.11500213072705,2.23222710096938
DHLDH2_m,"DHL dehydrogenase","pyruvate decarboxylation, tricarboxylic acid cycle",2.54274265851979,2.56592961710298,2.11500213103033,2.26458107559346
