ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,FBP aldolase,"Calvin-Benson cycle, glycolysis",1,1,1,0,-4.13265260981177e-05,8.76664442389534,-5.28061212792252e-05,9.09299025072494,-0.0106527582392526,4.21796602445068,1.73255967369059,2.09353434459315
TPI_c,TP isomerase,"sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.870859499374,995.300930446202,-990.371171383843,997.057003014526,-1.18898257885078,4.81850733359525,-1.21574912502612,-0.271625914691341
PGAM_h,PGA mutase,"glycolysis",1,1,1,0,-997.190178841393,0.624328972635797,-996.997486964569,1.0733578973611,-0.40085434129712,1.08472853564887,0.370084334755031,0.658607075241125
Enol_h,Enolase,"glycolysis",1,1,1,0,-997.190178841393,0.624328972635797,-996.997486964569,1.0733578973611,-0.400854341313029,1.08472853565822,0.370084334755815,0.658607075242268
TA_h,Transaldolase,"pentose phosphate pathway",1,1,1,0,-4.22294765694839,4.54369676694087,-4.30943350127601,4.78356414232597,-2.37796515784088,1.84000086668071,0.376137994769324,0.69018214631022
AlaTA_m,Ala transaminase,"alanine synthesis",1,0,1,0,-997.874002536867,1000,0.150590230534972,1000,-0.0813660170799542,1.90301461461751,-1.49240378507875,-1.09608742376004
GluSNADP_h,Glu synthase,"glutamate synthesis",1,1,1,0,-1000,1.26803302818073,-1000,1.41454684919856,-2.37796515775517,0.620046419407903,0,1.09576747333315
GluDH1NADP_m,Glu dehydrogenase,"glutamate synthesis",1,1,1,0,-1000,6.99182060237016,-999.929099870042,3.52228427730174,-0.608500230914062,2.82202029401339,1.4646208175284,1.80140754414282
GABATA1_m,GABA transaminase,"glutamate degradation",1,1,1,0,-1000,2.63515969373962e-05,-999.849400968464,6.16071448695799e-05,-0.237475271600122,1.70745988396198,1.15091478540283,1.54536177938851
Tr_TPT3,TP/Pi translocator,"transport",1,1,1,0,-994.938252922899,1000,-996.521016791948,1000,-1.18898257888004,4.81850726310547,2.78925419262453,3.71370959874952
Tr_DTC1A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.18898257886826,2.86083540026913,1.32954571093685,1.84022265043104
Tr_DTC2B,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-0.750817775609425,6.63665112309891,4.38726970752602,5.80318741058522
Tr_DTC2C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.1889825788609,5.1534607016392,0.0170307382567509,1.42901954248339
Tr_DTC3B,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-5.15346070165557,1.18898257890706,-4.18729442675203,-2.67982387641229
Tr_DTC3C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-6.56975130284907,0.1935335017927,-3.0449125263167,-1.62899482325731
Tr_NH42,NH4 diffusion,"transport",1,0,1,0,-999.53837924979,997.873278156151,-0.14740390322469,-0.147329851106338,-0.114036639566871,0.185019004832052,-1.52355895859013,-1.4963557146662
Tr_H2S1,H2S diffusion,"transport",0,0,1,0,-0.0137501323670928,-0.0137362685210608,-0.0203230848440572,-0.0202960781589041,-0.00187389026497871,0.00900315399554284,0.00370899978933568,0.00894633738250016
Tr_KG,KG diffusion,"transport",1,1,0,1,-1000,1000,-1000,999.887939894138,-2.03695772245548,-0.43641471866626,-0.16836982903189,0.0573303914350101
Tr_Glu1,Glu diffusion,"transport",1,1,0,1,-1000,1000,-999.887939894138,1000,0.436414718651463,2.0369577224525,-0.0573303914353303,0.168369829034475
