ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
TPI_c,TP isomerase,"sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.870859499375,995.300930446182,-985.707870169271,995.6316913838,-1.68324759354864,6.8241551460627,3.96840634933382,4.39681060515008
GAPDH2_h,GAP dehydrogenase,"glycolysis",1,1,1,0,-26.8683882406934,973.131748809843,-38.6652133084651,961.335563964388,-2.2969573438701,0.978798393504708,-0.67429649015378,-0.257405169681839
PGAM_h,PGA mutase,"glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-995.543351342982,1.59319296529189,-0.567438147250932,1.53600236530509,0.249371317367116,0.490778204729314
Enol_h,Enolase,"glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-995.543351342982,1.59319296529189,-0.567438331172799,1.53600236539397,0.24937133243097,0.490778204729314
GluSNADP_h,Glu synthase,"glutamate synthesis",1,1,1,0,-1000,1.26803302818237,-1000,2.09962063158228,-3.36649528511771,0.878242148886095,0,0.316551740466565
GluDH1NADP_m,Glu dehydrogenase,"glutamate synthesis",1,1,1,0,-1000,6.99182060246414,-1000,5.22814832399901,-0.861466275309754,4.00600036814233,2.16480010026235,2.4806284699784
GABATA1_m,GABA transaminase,"glutamate degradation",1,1,1,0,-1000,2.63515963417893e-05,-1000,9.14438614961627e-05,-0.332569100030166,2.41846923833136,1.70000758787417,1.90365758129276
Tr_DTC1C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.68324764337088,4.01127148903687,2.07767095624815,2.58500817592132
Tr_DTC2A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.05899307408018,9.41011645432993,2.32118474966727,2.82852233228831
Tr_DTC2B,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.0629062114647,9.40424671338702,2.30944590899284,2.81678325055985
Tr_DTC2C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.68324759281538,7.31713684669226,1.94791909363332,2.45444769269093
Tr_DTC3C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-9.30948911539301,0.276793274182911,-6.72364107092012,-6.21630357664378
Tr_NH41,NH4 diffusion,"transport",0,0,0,1,0.125947799172338,0.126191950462145,0.322452172502332,0.32297090861197,0.790186723109913,0.882198576996484,-0.0246242043161707,0.27468801737435
Tr_Pyr1,Pyr diffusion,"transport",0,0,0,1,-0.176039949584713,-0.17589152235757,-0.609715300263492,-0.609362951949981,-1.153280086657,-0.0852408482745842,-0.212921210331405,0.0763012599467621
