Row,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
PSII_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,3.03790869729451,4.05405405405405,2.56340841045333,4.05405405405405
Cytb6f_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,6.07581739458903,8.10810810810811,5.12681682090665,8.10810810810811
PSI_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,12.1516347891781,16.2162162162162,10.2536336418133,16.2162162162162
Fd-NADPR_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,5.20441121340839,8.10810810810811,4.03643101984537,8.10810810810811
ATPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,2.60392174053815,3.47490347490348,2.19720720895999,3.47490347490348
RBC_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,2.46710158051604,3.63354731588099,2.08175740981541,3.7638413452335
PGAK_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,5.02847367850285,9.43943597612966,3.88797370870475,10.3170034745508
GAPDH1_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0,100,0,100
TPI_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,-97.557994798107,100,-98.2696065154461,100
FBPA_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,-2.61270134602814,2.59842463093373,-3.83308879783169,2.73532455266096
FBPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0,4.27833317909628,0,5.23835471255377
FTK_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0.83503301395866,1.22792722931253,0.704606643673878,1.26874315216067
SBPA_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0,4.27833317909604,0,5.23835471255445
SBPase_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0,4.27833317909604,0,5.23835471255445
STK_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,0.819401205175271,1.21226058380528,0.691416415099155,1.25552352811709
Ru5PE_h,8.2e-05,0.000164746782258928,8.2e-05,0.000164746782258928,1.65443421913388,2.44015297639391,1.39602305877268,2.52429607574688
