ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,FBP aldolase,"Calvin-Benson cycle, glycolysis",1,1,1,0,-4.13265390544204e-05,8.76664442388336,-0.000117346931542521,20.2066450016422,-0.0150271265741795,8.24207749982679,0.716422207411092,3.13345031375496
TPI_c,TP isomerase,"sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.870859499375,995.300930446182,-978.602603075145,993.460006698938,-2.25023664722708,10.1015611134286,6.58292779994859,7.86005873644717
PGAM_h,PGA mutase,"glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-993.327748810143,2.3852415742016,-0.748436718833255,1.0776017346562,0.0299152406614809,0.642745694887172
Enol_h,Enolase,"glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-993.327748810143,2.3852415742016,-0.748436718329028,1.07760174158976,0.029915240121922,0.642745700125081
MalDH1_m,Mal dehydrogenase,"tricarboxylic acid cycle, glyoxylate cycle",1,1,1,0,-1000,999.82411950258,-6.44269175475085,994.886214401493,-0.626034597172435,14.6325821471545,5.44832638534576,6.63427373741255
PyrPiDK_h,Pyr phosphate dikinase,"pyruvate metabolism",0,0,0,1,-0.50877748852318,-0.508629061300959,-1.75108714851128,-1.75064123017315,-0.639920346551138,-0.525997895061822,-0.564921033886389,0.204195520650053
AlaTA_m,Ala transaminase,"alanine synthesis",1,0,0,1,-997.874002536873,1000,0.334644956749331,1000,6.90858305677137,8.67805148560977,-0.318187184781055,0.564858253833943
GluSNADP_h,Glu synthase,"glutamate synthesis",1,1,1,0,-1000,1.26803302818237,-1000,3.14343744261924,-4.50047369534078,1.26214215911369,0,6.77996259327709
GluDH1NADP_m,Glu dehydrogenase,"glutamate synthesis",1,1,1,0,-1000,6.99182060246414,-999.842444155648,7.82729839386742,-1.15354504381098,9.40042268650518,6.20011527296591,7.24039433382759
Tr_DTC2A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.06561702303544,14.6074246665381,5.00223882149076,6.25864055771735
Tr_DTC3A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-14.3870143046269,1.28602747169267,-5.96825946198578,-4.76019804958431
Tr_Pyr1,Pyr diffusion,"transport",0,0,0,1,-0.176039949584713,-0.17589152235757,-0.91283247810934,-0.912304961561711,-0.529307501280223,-0.118159116718085,-0.479268956772248,0.19306703217726
Tr_Gly,Gly diffusion,"transport",0,1,1,0,-2.77004958125003,-2.76999021035596,-1.95578222559334e-05,2.34693868205113e-05,-4.50047369602276,0.222950198136655,-0.59156904243404,-0.117891334676359
