ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,"FBP aldolase","Calvin-Benson cycle, glycolysis",1,1,1,0,-4.13265390544204e-05,8.76664442388341,-0.00011734693786547,20.2066450016452,-0.0150271265754407,8.24207707586928,1.57927374362641,3.54992158484243
TPI_c,"TP isomerase","sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.870859499374,995.300930446182,-978.602603075155,993.46000669894,-2.25023664722237,10.1015611137677,7.26127560881796,8.3396602096573
PGAM_h,"PGA mutase","glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-993.327748810165,2.38524157420445,-0.74843671855876,1.07760174161885,0.484611835712423,0.901344121014776
Enol_h,"Enolase","glycolysis",1,1,1,0,-997.190178841366,0.62432897263603,-993.327748810165,2.38524157420445,-0.748436718324068,1.07760174158971,0.484611836021079,0.90134412101446
MalDH1_m,"Mal dehydrogenase","tricarboxylic acid cycle, glyoxylate cycle",1,1,1,0,-1000,999.82411950258,-1000,1000,-0.626034597171932,14.6325822333368,8.66322660238795,9.58095067813825
GluSNADP_h,"Glu synthase","glutamate synthesis",1,1,1,0,-1000,1.26803302818238,-1000,3.14343744265162,-4.50047369632072,1.26214215911283,0,0.976671789369545
GluDH1NADP_m,"Glu dehydrogenase","glutamate synthesis",1,1,1,0,-1000,6.99182060246414,-1000,7.82729839388543,-1.15354494351301,9.40042268629884,6.7417039069803,7.45478001644433
Tr_DTC2A,"Di-/ri-carboxylate carrier","transport",1,1,1,0,-1000,1000,-1000,1000,-1.06561702285245,14.607424666578,5.52725719289061,7.00052256426234
Tr_DTC3A,"Di-/ri-carboxylate carrier","transport",1,1,1,0,-1000,1000,-1000,1000,-14.3870143045991,1.28602747129712,-6.21175579878377,-4.7253606942174
Tr_BAT13,"B0,+-type amino acid transporter 1","transport",1,0,1,0,-1.51018743541005,5.4816331669482,0.172164814049893,7.48850729525081,-0.109732408940791,4.50701197352818,-2.8668474850529,-1.71931477337818
Tr_Gly,"Gly diffusion","transport",0,1,1,0,-2.77004958125001,-2.76999021035596,-1.95578225543613e-05,2.3469387002685e-05,-4.50047369603589,0.222950188154105,-5.74142458474458,-4.98836514141061
