ReactionID,ReactionName,ReactionSubSystem,minFluxWT,maxFluxWT,minFluxMUT,maxFluxMUT
RBC_h,"RuBisCO","Calvin-Benson cycle",12.6224511381402,12.640635759307,11.5670187270234,11.6758999522173
PGAK_h,"PGA kinase","Calvin-Benson cycle, glycolysis",33.8350645934761,33.9470986243445,33.2059042700087,33.5087185655689
FTK_h,"F6P transketolase","Calvin-Benson cycle, pentose phosphate pathway",5.25280667039708,5.26043563312184,4.85864637762564,4.89964687025103
STK_h,"S7P transketolase","Calvin-Benson cycle, pentose phosphate pathway",5.21129032519224,5.21891928745445,4.82236874532608,4.86336923786782
Ru5PE_h,"Ru5P epimerase","Calvin-Benson cycle, pentose phosphate pathway",10.4640969960674,10.4793549203908,9.68101512295165,9.76301610808583
R5PI_h,"R5P isomerase","Calvin-Benson cycle, pentose phosphate pathway",5.19405364222913,5.20168260447569,4.80730706210438,4.84830755475528
Ru5PK_h,"Ru5P kinase","Calvin-Benson cycle",15.6581506361441,15.680708659318,14.4883221850561,14.6113236626809
PGI_h,"G6P isomerase","starch synthesis",-3.24999337292176,-3.07535553412346,-2.49235623368087,-2.31784839168344
FBPA_c,"FBP aldolase","sucrose synthesis, gluconeogenesis, glycolysis",3.52422297436896,3.69886083146757,2.71007579581667,2.88458363817189
PGI_c,"G6P isomerase","sucrose synthesis, sucrose degradation, gluconeogenesis",3.51068343055382,3.68532129161818,2.6982447341742,2.87275257646872
UGPase_c,"UDPG pyrophosphorylase","sucrose synthesis, sucrose degradation, pyrophosphate recycling",0.240653026609727,0.269048234662462,0.210286378179436,0.231702662378608
CeS_c1,"cellulose synthase","cellulose synthesis",0.115373112713655,0.115737400248047,0.100814830187764,0.102777061240699
CeS_c2,"cellulose synthase","cellulose synthesis",0.115373112713655,0.115737400248047,0.100814830187764,0.102777061240699
PEPC2_c,"PEP carboxylase","gluconeogenesis",-0.652681482731067,-0.604416994341798,-0.573210092793796,-0.503528571963678
Enol_c,"Enolase","gluconeogenesis, glycolysis",-1.59108198224034,-0.604416993545183,-2.05597174563515,-1.7870731102826
PGAM_c,"PGA mutase","gluconeogenesis, glycolysis",-1.59108192242511,-0.604416993288224,-2.05597174563605,-1.7870731102828
PGAK_c,"PGA kinase","gluconeogenesis, glycolysis",-6.87435984390996,-6.7616781351119,-8.31506839138759,-8.20544700475506
GAPDH2_c,"GAP dehydrogenase","gluconeogenesis, glycolysis",6.76167813511374,6.87435985062689,8.20544700456056,8.31506839138768
PyrK_c,"Pyr kinase","glycolysis",0,0.183811410523944,1.09067376626454,1.49213989449087
PyrDH1_m,"Pyr dehydrogenase","pyruvate decarboxylation",1.73328424003932,1.75137882539641,1.63726325786026,1.71515128615219
PyrDH2_m,"Pyr dehydrogenase","pyruvate decarboxylation",1.73328424003932,1.75137882539641,1.63726325786026,1.71515128615219
DHLAcT_m,"DHL acetyltransferase","pyruvate decarboxylation",1.73328424003932,1.75137882539641,1.63726325786026,1.71515128615219
DHLDH2_m,"DHL dehydrogenase","pyruvate decarboxylation, tricarboxylic acid cycle",1.73328424005458,1.75143592941551,1.63726325790773,1.71515128615203
CitS_m,"Cit synthase","tricarboxylic acid cycle, glyoxylate cycle",1.7332842400481,1.75137882502155,1.63726325786027,1.71515128615211
cplx2_m,"SCA dehydrogenase (Q)","tricarboxylic acid cycle, oxidative phosphorylation",1.61523724840612,1.627164847138,1.53082984899679,1.58255946808995
cplx1_m,"NADH dehydrogenase (Q)","oxidative phosphorylation",11.544162537431,11.6730282376561,12.5947940979553,12.9134200379096
cplx3_m,"Cytc reductase","oxidative phosphorylation",13.1600991970029,13.2967089653318,14.1262351038687,14.4924766242623
cplx4_m,"Cytc oxidase","oxidative phosphorylation",6.58004959850147,6.64835448266591,7.06311755193436,7.24623831213115
cplx5_m,"ATP synthase","oxidative phosphorylation",31.2843114090336,31.6180916859921,33.7841467542566,34.6521349740063
RBO_h,"RuBisCO","photorespiration",3.03569949872275,3.04133358362972,2.89605211173589,2.95996181567077
PGP_h,"PGCA phosphorylase","photorespiration",3.03569949872275,3.04133358362972,2.89605211173589,2.95996181567077
GCAO_x,"GCA oxidase","photorespiration",3.01956370666791,3.04060497008196,2.87736255108348,2.94973874921146
CAT_x,"Catalase","photorespiration",1.50978185333396,1.52030248504098,1.43868127554174,1.47486937460573
GGAT_x,"Glu:GLX aminotransferase","photorespiration, glycine synthesis",3.01956370666791,3.04068592722633,0,0
GlyDH_m,"Gly dehydrogenase","photorespiration",1.6157513949683,1.62706446610312,1.53127911777747,1.56838098032176
AMT_m,"Aminomethyltransferase","photorespiration",1.6157513949683,1.62706446610312,1.53127911777747,1.56838098032176
DHLDH1_m,"DHL dehydrogenase","photorespiration",1.6157513949683,1.62706446610312,1.53127911777747,1.56838098032176
