ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,FBP aldolase,"Calvin-Benson cycle, glycolysis",1,1,1,0,-0.000231003576697475,8.93197931526252,-5.75928472623666e-05,9.91724485774687,-0.00528274090602121,4.62168059940511,0.52770951053209,1.86574533868071
TPI_c,TP isomerase,"sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.81661990397,995.966765676941,-989.498344499832,996.790228415973,-1.22211478632359,4.74633762847948,2.69721975306684,3.06268129232155
GAPDH2_h,GAP dehydrogenase,"glycolysis",1,1,1,0,-26.6318295218465,973.464087801167,-28.4106536125345,971.589917516583,-1.73791495513503,0.726347542759493,-0.565750484377313,-0.209980391228552
PGAM_h,PGA mutase,"glycolysis",1,1,1,0,-997.397195361787,0.759187369775144,-996.725317399492,1.17065572906103,-0.39987377758605,0.589983014354968,0.256488793025921,0.443828981408247
Enol_h,Enolase,"glycolysis",1,1,1,0,-997.397195361787,0.759187369775144,-996.725317399492,1.17065572906103,-0.399873777589571,0.589983013604158,0.256488612466785,0.443828981253096
GluDH1NADP_m,Glu dehydrogenase,"glutamate synthesis",1,1,1,0,-1000,4.60114233672812,-1000,3.84156967879676,-0.627734236589418,2.76915521297794,1.41049977765613,1.68352759677455
GABATA1_m,GABA transaminase,"glutamate degradation",1,1,1,0,-1000,0.000115616456198175,-1000,6.71916504870751e-05,-0.28616593179255,1.62737271955735,1.18450581963609,1.35108343651164
Tr_DTC1C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.2221147863356,2.79987427782968,1.35601168738579,1.7623484169992
Tr_DTC2A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-0.76164958338312,6.93698300503609,3.08629812724153,3.49263486336139
Tr_DTC2B,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-0.764938304535824,6.93204993964642,1.54258521928344,1.94892172703919
Tr_DTC2C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-1.22211478566252,5.591824145191,0.169209451598511,0.575454180473409
Tr_DTC3A,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-5.59182414246201,1.22211478631825,-2.11123217914415,-1.48497157660726
Tr_DTC3C,Di-/ri-carboxylate carrier,"transport",1,1,1,0,-1000,1000,-1000,1000,-6.85240951413638,0.23901848049182,-3.52668107107437,-3.1203446982019
Tr_NH41,NH4 diffusion,"transport",1,0,0,1,-0.0572074705383594,0.134313707239139,0.236933310217857,0.23731447022763,0.667363691449583,0.734972714183727,-0.0442831188452337,0.148762398072781
