ReactionID,ReactionName,ReactionSubSystem,IS_BD_FVA_WT,IS_BD_FVA_MUT,IS_BD_TVA_WT,IS_BD_TVA_Mut,minFlux_FVA_WT,maxFlux_FVA_WT,minFlux_FVA_Mut,maxFlux_FVA_Mut,minFlux_TVA_WT,maxFlux_TVA_WT,minFlux_TVA_Mut,maxFlux_TVA_Mut
FBPA_h,"FBP aldolase","Calvin-Benson cycle, glycolysis",1,1,0,1,-0.000231003576697475,8.93197931526252,-0.000117346950901265,20.206645001659,0.186007287451362,9.1423620850253,-2.51251639019888,2.97436244762748
TPI_c,"TP isomerase","sucrose synthesis, gluconeogenesis, glycolysis",1,1,1,0,-990.81661990397,995.966765676941,-978.602603075177,993.460006698948,-2.23908878572113,9.18665708804411,3.9906931427356,5.70933098957859
PGM_c,"Phosphoglucomutase","sucrose synthesis, sucrose degradation",0,0,0,1,0.364956108200719,0.488174375224201,1.12826561754424,1.12881323661869,0.467971787740993,0.56252103793072,-0.0230776023842572,0.497912187502293
MalDH1_m,"Mal dehydrogenase","tricarboxylic acid cycle, glyoxylate cycle",1,1,1,0,-1000,999.611139423426,-6.44269175499426,994.88621440153,-0.594991166862489,13.9365057072024,12.6099551545483,13.7479877601549
PyrPiDK_h,"Pyr phosphate dikinase","pyruvate metabolism",0,0,0,1,-0.636343338118278,-0.540483184738562,-1.75108714855048,-1.75064123015984,-0.793183625571938,-0.662357222338827,-0.558972688443005,0.271481600952611
AlaTA_m,"Ala transaminase","alanine synthesis",1,0,0,1,-997.639389985724,1000,0.334644956738664,1000,5.93755029102008,7.71679681505406,-0.164370730581581,1.24475953391007
GluSNADP_h,"Glu synthase","glutamate synthesis",1,1,1,0,-1000,1.34805867805777,-1000,3.1434374426663,-4.47817757217372,1.55261966469367,0,4.73213965333145
GluDH3NADP_c,"Glu dehydrogenase","glutamate synthesis",1,0,0,1,-999.027857921074,997.060610658445,-0.93297528085543,-0.932636041514115,-0.524178830369015,-0.0504494962767925,-0.258759577994574,0.32697001353303
Tr_DTC2A,"Di-/ri-carboxylate carrier","transport",1,1,1,0,-1000,1000,-1000,1000,-1.04693462282029,14.3787917931883,12.1998268049205,13.1807167640105
Tr_DTC3A,"Di-/ri-carboxylate carrier","transport",1,1,1,0,-1000,1000,-1000,1000,-14.1098241423849,1.3159022730428,-12.8816184290887,-11.8174691332173
Tr_BAT11,"B0,+-type amino acid transporter 1","transport",1,0,0,1,-998.540414867294,997.639389985715,-0.3347935962055,-0.334664514563766,-6.59060983152854,-6.09435974086562,-0.112427163953729,0.0197467799369034
Tr_Pyr1,"Pyr diffusion","transport",0,0,0,1,-0.282668738759138,-0.186792533420002,-0.912832478112175,-0.912304961489506,-0.559467305257299,-0.118468613870577,-0.438911955503253,0.543728873949478
Tr_Gly,"Gly diffusion","transport",0,1,1,0,-2.46221191058989,-2.42386968557307,-1.95578248307626e-05,2.34693893682303e-05,-4.47817757178357,0.315822015026079,0,0.0471940433885535
